Pitching Data for 547888 for game: gid_2018_04_05_balmlb_nyamlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
4/5/18,180405_224226nya,089f4dc9-b2c6-47a9-947f-d817dd404e9a,3,1,547888,641820,1,Single,S,3,3.549,1.627,-5.47035,11.1943,FF,19,0.866,R,0,0,R,gid_2018_04_05_balmlb_nyamlb_1/,Called Strike,206.011,-0.374269,1,nya,0.075621161,-131.1644262,0.30417544,-5.003174982,10.74153718,-5.47035,11.1943,-1.488586147,55,5.466865957,7.339148167,-134.3726306,-5.063257503,-9.012518143,28.39657188,-12.82962704,91.82,0.788791449,2.238446395,0.823593,2.22833,2424,0
4/5/18,180405_224241nya,2bdb862c-acbf-490e-b8ef-29ba84373db2,3,2,547888,641820,1,Single,B,4,3.549,1.627,3.06832,0.883683,SL,24,0.926,R,1,0,R,gid_2018_04_05_balmlb_nyamlb_1/,Ball,106.074,-1.67615,1,nya,0.083696401,-118.4425342,0.337683189,3.499370624,0.508416008,3.06832,0.883683,-1.566123415,55,5.454738531,4.610991846,-121.5400149,-2.337274799,5.114695812,24.77804352,-31.43589688,82.94,1.11481342,1.008387101,1.15998,0.977223,557,1
4/5/18,180405_224258nya,7e6f4226-13c0-41a6-980a-98a673140f12,3,3,547888,641820,1,Single,X,5,3.549,1.627,-6.91143,9.53997,FF,22,0.907,R,1,1,R,gid_2018_04_05_balmlb_nyamlb_1/,"In play, no out",215.895,-0.98113,1,nya,0.075172658,-131.9142349,0.302776011,-6.427544152,9.113830685,-6.91143,9.53997,-1.416858817,55,5.464571478,5.783894209,-135.2390694,-5.924974863,-11.68559668,29.60801674,-15.60960007,92.38,-0.022754805,1.660677154,0.00496168,1.64513,2299,11
4/5/18,180405_224345nya,950be56f-e8fb-4bf0-99d4-8e68e6cf9219,4,1,547888,592518,2,Strikeout,S,9,3.49,1.601,5.86836,0.00620366,SL,18,0.919,R,0,0,R,gid_2018_04_05_balmlb_nyamlb_1/,Called Strike,90.0603,-0.776423,1,nya,0.084774895,-116.9814061,0.341313471,6.264758035,-0.362984355,5.86836,0.00620366,-1.557721117,55,5.388790027,2.298743093,-119.9035728,0.062733811,8.962851311,23.07391335,-32.69831372,81.77,0.499332762,1.837990325,0.542888,1.81217,1015,0
4/5/18,180405_224406nya,6ce80b61-c52e-41e7-82d9-9728b6054160,4,2,547888,592518,2,Strikeout,S,10,3.49,1.601,3.37541,1.25896,SL,11,0.897,R,1,0,R,gid_2018_04_05_balmlb_nyamlb_1/,Swinging Strike,110.464,0.308403,1,nya,0.083504223,-118.7605973,0.336211301,3.797783284,0.881030037,3.37541,1.25896,-1.730023403,55,5.339357518,1.407935632,-121.7299025,1.723683375,5.599565292,23.80298973,-30.87998296,83.01,-0.486138589,2.85323685,-0.450922,2.83679,633,1
4/5/18,180405_224434nya,0938a436-79c7-4010-b273-95abeaa6d091,4,3,547888,592518,2,Strikeout,B,11,3.49,1.601,3.20346,-0.201512,SL,24,0.927,R,2,0,R,gid_2018_04_05_balmlb_nyamlb_1/,Ball,86.3982,-1.49372,1,nya,0.082888711,-119.5654785,0.334898201,3.624795553,-0.553687738,3.20346,-0.201512,-1.664493247,55,5.339424171,4.998759223,-122.7859143,-1.532340306,5.386499668,26.01590324,-33.00178815,83.79,1.194981178,1.164951188,1.24175,1.13468,564,2
4/5/18,180405_224458nya,c44df382-0d88-43ee-a939-638ba8da83cd,4,4,547888,592518,2,Strikeout,S,12,3.49,1.601,-6.8047,2.03372,FS,22,0.927,R,2,1,R,gid_2018_04_05_balmlb_nyamlb_1/,Swinging Strike (Blocked),253.352,-2.23655,1,nya,0.079053306,-125.5595096,0.316767598,-6.282246787,1.68579087,-6.8047,2.03372,-1.385964577,55,5.531931288,5.635308395,-128.3614809,-5.261374161,-10.43475459,23.71597839,-29.37891675,87.68,0.07803959,0.465212581,0.105222,0.433077,1333,12
4/5/18,180405_224604nya,a0824cb7-0797-4b22-a2b4-1bb78165fc21,1,1,547888,570731,3,Pop Out,X,17,3.411,1.565,6.99719,-2.15388,SL,17,0.922,R,0,0,R,gid_2018_04_05_balmlb_nyamlb_1/,"In play, out(s)",72.8816,-0.229696,1,nya,0.083883939,-118.0607788,0.340272424,7.371855224,-2.486139741,6.99719,-2.15388,-1.699840512,55,5.33970498,0.8918438,-121.4990696,1.794367816,10.61138418,27.45588089,-35.75766278,82.85,-0.135001167,2.300829243,-0.0935196,2.27599,1259,0
4/5/18,180405_224651nya,7497aa91-7b89-4a73-84ac-b831cb0aeab7,2,1,547888,430945,4,Double,S,21,3.467,1.589,3.73168,0.884574,SL,19,0.926,R,0,0,R,gid_2018_04_05_balmlb_nyamlb_1/,Called Strike,103.342,-0.704684,1,nya,0.084355478,-117.4234959,0.341823166,4.163036228,0.500137765,3.73168,0.884574,-1.571032426,55,5.394734754,3.780928117,-120.7752028,-0.130783654,5.938215519,26.61240746,-31.46559621,82.39,0.84720872,1.891152721,0.891127,1.8663,657,0
4/5/18,180405_224714nya,4875a10d-77f5-4b14-9080-34041b6a0a7a,2,2,547888,430945,4,Double,X,22,3.467,1.589,-9.84536,5.00692,SI,10,0.918,R,1,0,R,gid_2018_04_05_balmlb_nyamlb_1/,"In play, out(s)",243.031,-0.186371,1,nya,0.076025657,-130.4056852,0.306573215,-9.308114718,4.63696073,-9.84536,5.00692,-1.68366136,55,5.246327399,4.798873318,-133.7779712,-1.82050759,-16.50600836,29.69676186,-23.95631314,91.28,-1.124237388,2.367248274,-1.10524,2.353,2125,1
