Pitching Data for 547888 for game: gid_2018_04_23_minmlb_nyamlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
4/23/18,180423_231028nya,762cd1e6-1234-4e03-8733-9ffdc9b1af51,6,1,547888,572821,1,Walk,S,3,3.319,1.513,2.09261,1.49994,SL,17,0.899,R,0,0,R,gid_2018_04_23_minmlb_nyamlb_1/,Called Strike,125.65,-0.654323,1,nya,0.08351355,-118.6882123,0.337155575,2.627936165,1.33420756,2.09261,1.49994,-1.481950012,55,5.543195382,2.804090277,-121.8330713,-0.896050643,3.85303425,25.21351706,-30.22280811,83.09,0.224200645,1.905540003,0.216531,1.82515,449,0
4/23/18,180423_231044nya,794d9557-4e0b-4970-bc8d-0b079bcb9bfb,6,2,547888,572821,1,Walk,B,4,3.319,1.513,3.76556,0.575273,SL,24,0.932,R,1,0,R,gid_2018_04_23_minmlb_nyamlb_1/,Ball,98.69,-1.54405,1,nya,0.082560873,-120.1099975,0.332526124,4.255144489,0.430680013,3.76556,0.575273,-1.465431561,55,5.51366762,4.518094485,-123.1357635,-2.476668184,6.413742535,24.53349196,-31.52983974,84.03,1.260565884,1.108652671,1.26301,1.02172,676,1
4/23/18,180423_231103nya,b54a1b7b-4b64-407a-8089-e2c7d4ac3f0e,6,3,547888,572821,1,Walk,B,5,3.319,1.513,-6.15122,0.309474,FS,22,0.875,R,1,1,R,gid_2018_04_23_minmlb_nyamlb_1/,Ball,267.119,-0.874166,1,nya,0.079550867,-124.7955615,0.318470945,-5.531175731,0.181103196,-6.15122,0.309474,-1.381481248,55,5.657080921,4.899433485,-127.516331,-2.06053756,-9.089219101,22.88275038,-31.88139842,87.02,-0.107967147,1.70655005,-0.13257,1.62663,1150,11
4/23/18,180423_231127nya,0fa56b72-6174-4825-a5db-74cb55e07634,6,4,547888,572821,1,Walk,S,6,3.319,1.513,-3.22479,1.54475,FS,18,0.515,R,1,2,R,gid_2018_04_23_minmlb_nyamlb_1/,Called Strike,244.392,-0.722232,1,nya,0.079516068,-124.7932914,0.319105764,-2.653632305,1.394133958,-3.22479,1.54475,-1.286457421,55,5.574849294,5.451458732,-127.684661,-1.980579518,-4.343303688,24.3335694,-29.89716647,87.15,0.684397545,1.840687447,0.669237,1.76382,664,21
4/23/18,180423_231147nya,7a95ffa1-4933-4b4c-ad87-35a5e1eae790,6,5,547888,572821,1,Walk,B,7,3.319,1.513,6.09545,-0.038678,SL,24,0.941,R,2,2,R,gid_2018_04_23_minmlb_nyamlb_1/,Ball,89.6359,-1.97958,1,nya,0.082307767,-120.4969899,0.331245266,6.538525495,-0.170989213,6.09545,-0.038678,-1.387294774,55,5.524941179,4.321930125,-123.479568,-3.213659344,9.931828491,24.25597083,-32.4387276,84.27,1.600225869,0.71919206,1.60767,0.628436,1087,22
4/23/18,180423_231212nya,17fea755-f684-40f5-a574-368f62d84dbd,6,6,547888,572821,1,Walk,B,8,3.319,1.513,-4.19393,4.71424,FS,2,0.779,R,2,3,R,gid_2018_04_23_minmlb_nyamlb_1/,Ball,221.633,2.22735,1,nya,0.079305561,-125.1067046,0.318503816,-3.607718272,4.508406495,-4.19393,4.71424,-1.338515303,55,5.593503872,4.149814973,-128.0588456,2.861931762,-5.92723418,24.9126805,-24.77199672,87.38,-0.091004362,4.478822301,-0.113345,4.4273,1173,32
4/23/18,180423_231253nya,26120827-12f6-4c00-b3af-b20f3decd0d5,2,1,547888,408045,2,Sac Bunt,S,12,3.575,1.681,-5.05473,9.4357,FF,11,0.896,L,0,0,R,gid_2018_04_23_minmlb_nyamlb_1/,Called Strike,208.147,0.07197,1,nya,0.074653733,-132.8355661,0.300632408,-4.513473487,9.168109726,-5.05473,9.4357,-1.476705711,55,5.450629902,3.817295259,-136.1704689,-3.400442199,-8.323156364,29.90363203,-15.27237342,92.91,-0.610324328,2.751983405,-0.639321,2.69616,2102,0
4/23/18,180423_231319nya,bd5a94bc-490b-4e50-896d-4da3128e949e,2,2,547888,408045,2,Sac Bunt,X,13,3.575,1.681,5.82645,-0.339774,SL,13,0.936,L,1,0,R,gid_2018_04_23_minmlb_nyamlb_1/,"In play, out(s)",86.6605,-0.0458512,1,nya,0.083918986,-118.0248372,0.340203147,6.301225297,-0.473671697,5.82645,-0.339774,-1.740489743,55,5.434104688,2.576779151,-121.421972,1.690501648,9.073965065,27.11443602,-32.86110233,82.81,0.442045137,2.660844407,0.444027,2.58458,1004,1
4/23/18,180423_231410nya,b361edee-9528-45ff-b760-c27841f7e9cf,4,1,547888,593934,3,Groundout,B,18,3.549,1.627,7.42586,-2.47449,SL,23,0.943,R,0,0,R,gid_2018_04_23_minmlb_nyamlb_1/,Ball,71.561,-1.8695,1,nya,0.082325525,-120.2926519,0.3339966,7.851449234,-2.563743455,7.42586,-2.47449,-1.466862492,55,5.467303374,2.293148715,-123.8049623,-1.803678494,11.7304449,28.57821928,-36.00935672,84.44,0.805250568,0.884675903,0.809054,0.791412,1370,0
4/23/18,180423_231435nya,e8799c8e-1ef9-45f2-a5ea-0325f9f73110,4,2,547888,593934,3,Groundout,S,19,3.549,1.627,-4.07864,2.58366,FS,18,0.696,R,0,1,R,gid_2018_04_23_minmlb_nyamlb_1/,Called Strike,237.631,-0.535659,1,nya,0.079170345,-125.3253858,0.317892717,-3.496564799,2.415829956,-4.07864,2.58366,-1.394113925,55,5.56589688,5.37280606,-128.2676545,-1.691250452,-5.766724117,24.87129485,-28.19468234,87.54,0.400855949,2.146010856,0.383008,2.07323,900,10
