Pitching Data for 547888 for game: gid_2018_05_27_anamlb_nyamlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
5/27/18,180527_171053nya,ac1b4956-39ba-4e8a-90d2-381e4f3f2476,1,1,547888,446359,1,Single,X,3,3.371,1.535,-7.89749,10.7166,FF,12,0.896,R,0,0,R,gid_2018_05_27_anamlb_nyamlb_1/,"In play, no out",216.361,-0.0703158,1,nya,0.075020237,-132.1173872,0.302965834,-7.562039098,10.61601208,-7.89749,10.7166,-2.044987586,55,5.537875463,7.909295217,-135.6419288,-4.772682661,-13.73094278,31.45762886,-12.90273701,92.7,0.054973039,2.446084358,0.0610599,2.38845,2611,0
5/27/18,180527_171135nya,ef005bfd-643d-40b7-bb0a-140307b073eb,10,1,547888,545361,2,Strikeout,S,7,3.467,1.589,-4.30039,9.90646,FC,19,0.401,R,0,0,R,gid_2018_05_27_anamlb_nyamlb_1/,Called Strike,203.432,-0.880077,1,nya,0.077975781,-127.1300584,0.314628148,-3.928679371,9.794670839,-4.30039,9.90646,-2.01969671,55,5.531433709,8.10693638,-130.4604372,-5.371156337,-6.61454826,28.5957972,-15.68813454,89.2,0.860499399,1.758260634,0.867888,1.70161,2042,0
5/27/18,180527_171157nya,664ee21e-9886-4446-9096-f6a66d103ac9,10,2,547888,545361,2,Strikeout,B,8,3.467,1.589,-6.3881,9.89077,FF,0,0.907,R,1,0,R,gid_2018_05_27_anamlb_nyamlb_1/,Ball,212.828,1.12574,1,nya,0.075536133,-131.3561096,0.30328742,-6.048113893,9.787710391,-6.3881,9.89077,-2.029191483,55,5.502786922,5.190840662,-134.4368437,-1.461132556,-10.95872217,27.29458107,-14.44441353,91.74,-0.817940551,3.643955116,-0.810957,3.58507,2323,1
5/27/18,180527_171220nya,b37de27b-fffd-4dd6-bed9-74e154c8cadd,10,3,547888,545361,2,Strikeout,S,9,3.467,1.589,-5.37632,9.32957,FF,13,0.722,R,1,1,R,gid_2018_05_27_anamlb_nyamlb_1/,Foul,209.923,0.242809,1,nya,0.077764974,-127.4767697,0.313749757,-5.009409084,9.217042006,-5.37632,9.32957,-2.182717267,55,5.420657222,8.125960639,-130.8099763,-2.501226335,-8.481417709,28.69743599,-16.57364975,89.38,0.526877013,2.813888317,0.53445,2.756,2042,11
5/27/18,180527_171308nya,158f72a1-7413-4610-a57e-6039af46415d,10,4,547888,545361,2,Strikeout,S,10,3.467,1.589,-5.93638,1.76509,FS,24,0.905,R,2,1,R,gid_2018_05_27_anamlb_nyamlb_1/,Foul,253.433,-1.11543,1,nya,0.080064441,-124.0040463,0.320403601,-5.554651238,1.627840131,-5.93638,1.76509,-1.853082125,55,5.631866592,8.312693694,-126.6805897,-2.809583216,-9.018011147,22.36561073,-29.53619133,86.58,0.931876855,1.53539245,0.941145,1.48061,1161,12
5/27/18,180527_171341nya,0dfa5ba9-4ec6-44a9-85b7-2d3952c6933c,10,5,547888,545361,2,Strikeout,S,11,3.467,1.589,-8.09848,0.944687,FS,23,0.908,R,2,1,R,gid_2018_05_27_anamlb_nyamlb_1/,Foul,263.343,-1.91419,1,nya,0.079760551,-124.3705984,0.3206412,-7.721744739,0.805171982,-8.09848,0.944687,-2.013724944,55,5.548660668,8.16367801,-127.3727041,-4.043358598,-12.51772886,25.19200005,-30.87373482,87.07,0.366065321,0.784400899,0.376169,0.730577,1519,12
5/27/18,180527_171415nya,ba5361ca-ba0e-4a8b-b761-515195c0a82a,10,6,547888,545361,2,Strikeout,S,12,3.467,1.589,-7.29275,11.5806,FF,18,0.906,R,2,1,R,gid_2018_05_27_anamlb_nyamlb_1/,Foul,212.171,-0.501804,1,nya,0.074654439,-132.9005662,0.29983067,-6.962852328,11.48422412,-7.29275,11.5806,-1.787314305,55,5.563528029,7.723006432,-136.0382339,-6.145222713,-12.90873914,28.12801994,-10.88789021,93,0.297474549,2.114234606,0.302786,2.05681,2730,12
5/27/18,180527_171453nya,d9e94342-37e1-4357-a90a-d42246dfd66e,10,7,547888,545361,2,Strikeout,B,13,3.467,1.589,0.407998,4.2279,SL,24,0.89,R,2,1,R,gid_2018_05_27_anamlb_nyamlb_1/,Ball,174.531,-1.28956,1,nya,0.081588333,-121.5782353,0.328078111,0.824954406,4.090256661,0.407998,4.2279,-2.154765312,55,5.421660839,7.423378636,-124.5313972,-3.18448095,1.277391976,24.22671951,-25.84548508,85.09,1.314867643,1.372202782,1.32378,1.3171,773,12
5/27/18,180527_171518nya,29a71c80-fe62-406a-9c5c-04232d06a2be,10,8,547888,545361,2,Strikeout,B,14,3.467,1.589,-9.41123,3.68372,FS,23,0.896,R,2,2,R,gid_2018_05_27_anamlb_nyamlb_1/,Ball In Dirt,248.613,-3.54757,1,nya,0.078855121,-125.8414004,0.316424837,-9.047891783,3.55473605,-9.41123,3.68372,-1.969565013,55,5.496656337,8.466242655,-128.7506947,-8.68350057,-15.06104189,24.6894442,-26.26181732,88.17,0.286862033,-0.750441406,0.296397,-0.803164,1912,22
5/27/18,180527_171551nya,4fa98584-50a4-4d3a-9d15-1be8cafac048,10,9,547888,545361,2,Strikeout,S,15,3.467,1.589,-7.50254,1.02207,FS,18,0.901,R,2,3,R,gid_2018_05_27_anamlb_nyamlb_1/,Foul,262.239,-0.803806,1,nya,0.079409477,-125.0825306,0.31703415,-7.132836427,0.885878802,-7.50254,1.02207,-1.984220667,55,5.442283064,7.81199739,-127.6151697,-1.602273428,-11.82766252,21.33306946,-30.71003662,87.18,0.296951065,1.828507396,0.306344,1.77323,1438,32
5/27/18,180527_171622nya,a775df0a-c296-4f50-94fd-5da704064bb6,10,10,547888,545361,2,Strikeout,S,16,3.467,1.589,-4.59083,10.9682,FF,8,0.908,R,2,3,R,gid_2018_05_27_anamlb_nyamlb_1/,Foul Tip,202.678,0.592385,1,nya,0.074077794,-133.7857237,0.299311806,-4.255730057,10.87098413,-4.59083,10.9682,-1.928881502,55,5.429437497,7.638021683,-137.3922996,-3.127609853,-7.917264038,32.60080399,-11.95486675,93.85,0.536987061,3.142812287,0.541183,3.08425,2359,32
5/27/18,180527_171746nya,82fde27c-4c2d-4c58-aac7-0bd9a384a07d,1,1,547888,592743,3,Flyout,X,21,3.467,1.589,-2.82549,8.03833,FF,13,0.455,R,0,0,R,gid_2018_05_27_anamlb_nyamlb_1/,"In play, out(s)",199.331,-0.164574,1,nya,0.07717841,-128.4404062,0.311451529,-2.457699094,7.924441743,-2.82549,8.03833,-2.16172433,55,5.394611496,6.722048438,-131.8144132,-2.985018559,-4.222761208,29.27005257,-18.56340919,90.01,0.322248826,2.430735066,0.32908,2.37347,1627,0
5/27/18,180527_171830nya,0f4b119b-807e-42de-a760-2ded45b6b93f,6,1,547888,660271,4,Strikeout,B,25,3.549,1.627,-9.72485,1.65593,FS,20,0.876,L,0,0,R,gid_2018_05_27_anamlb_nyamlb_1/,Ball,260.332,-1.80247,1,nya,0.079120183,-125.4440044,0.317161841,-9.360503289,1.521228817,-9.72485,1.65593,-2.14048317,55,5.46241696,6.467362482,-128.2715275,-3.998726959,-15.50908189,23.91288437,-29.65853058,87.61,-0.794646855,0.910112226,-0.783823,0.855822,1864,0
5/27/18,180527_171855nya,03003924-62ad-4907-8a16-1904a40f722b,6,2,547888,660271,4,Strikeout,B,26,3.549,1.627,-7.49907,10.5274,FF,10,0.904,L,0,1,R,gid_2018_05_27_anamlb_nyamlb_1/,Ball,215.436,0.14447,1,nya,0.075103892,-131.9810983,0.303168111,-7.162179388,10.42614878,-7.49907,10.5274,-1.991970493,55,5.385246988,3.721195396,-135.4693807,-3.504308702,-12.9875403,31.09809364,-13.27273975,92.43,-1.566624843,2.784983927,-1.55869,2.72684,2535,10
5/27/18,180527_171918nya,6b4af89e-c766-4b02-936d-950ce6508b64,6,3,547888,660271,4,Strikeout,S,27,3.549,1.627,2.40136,4.80598,SL,10,0.91,L,0,2,R,gid_2018_05_27_anamlb_nyamlb_1/,Called Strike,153.483,0.300458,1,nya,0.081925321,-121.0194708,0.33029491,2.829164315,4.667928203,2.40136,4.80598,-2.231586067,55,5.281272973,1.884437057,-124.1350701,0.483418148,4.322183079,25.46011032,-25.04769264,84.65,-0.935752442,2.933906853,-0.924199,2.87674,968,20
5/27/18,180527_171944nya,5a2630f0-c668-4a86-8fdc-a8d44e9d1491,6,4,547888,660271,4,Strikeout,B,28,3.549,1.627,-6.50897,9.62332,FF,15,0.909,L,1,2,R,gid_2018_05_27_anamlb_nyamlb_1/,Ball,214.045,-0.809204,1,nya,0.074666172,-132.8914446,0.299735748,-6.177394392,9.522341979,-6.50897,9.62332,-2.090770051,55,5.413687714,4.560664705,-135.993604,-5.637350653,-11.45979887,27.80414261,-14.51392685,92.85,-1.18428326,1.867344626,-1.17784,1.81035,2319,21
5/27/18,180527_172016nya,f07b88a9-0c6d-45a7-ba91-7e521c25f485,6,5,547888,660271,4,Strikeout,S,29,3.549,1.627,0.927156,2.71473,SL,12,0.88,L,1,3,R,gid_2018_05_27_anamlb_nyamlb_1/,Swinging Strike,161.179,-0.19227,1,nya,0.082560587,-119.9462772,0.335009834,1.363285916,2.567044413,0.927156,2.71473,-2.222911694,55,5.300190784,4.004351637,-123.4601269,0.300278452,2.024513072,28.5097834,-28.36687599,84.22,-0.175313838,2.459274876,-0.163482,2.40323,506,31
