Pitching Data for 547888 for game: gid_2018_06_02_nyamlb_balmlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
6/2/18,180602_215901bal,65acc030-a6ca-4669-be52-79d6aad027a9,6,1,547888,572073,5,Groundout,S,34,3.411,1.565,-5.17299,10.0403,FF,7,0.908,R,0,0,R,gid_2018_06_02_nyamlb_balmlb_1/,Foul,207.227,0.781822,1,nya,0.07564508,-131.0651796,0.304995577,-5.007555222,10.24731419,-5.17299,10.0403,-1.899898184,55,5.600650403,5.975468527,-134.4442787,-2.924713682,-8.971961769,29.9060918,-13.81904049,91.78,-0.185998318,3.171007519,-0.0922365,3.20962,2200,0
6/2/18,180602_215920bal,e5906c3c-de0b-420a-95d0-a9308058c7f4,6,2,547888,572073,5,Groundout,S,35,3.411,1.565,7.78096,-1.87358,SL,18,0.915,R,1,0,R,gid_2018_06_02_nyamlb_balmlb_1/,Swinging Strike,76.4543,-0.437914,1,nya,0.083964007,-118.0261098,0.339369999,7.938422555,-1.570127081,7.78096,-1.87358,-2.059570738,55,5.54328102,2.943993511,-121.2295029,0.480224939,11.48777887,25.54765903,-34.45114822,82.68,0.549336174,2.045778671,0.661962,2.08381,1397,1
6/2/18,180602_215940bal,15831f4d-fce9-40e0-927f-1152a5fd462b,6,3,547888,572073,5,Groundout,S,36,3.411,1.565,-5.95353,10.3191,FF,1,0.907,R,2,0,R,gid_2018_06_02_nyamlb_balmlb_1/,Foul,209.952,1.1155,1,nya,0.07517946,-131.9290771,0.302472471,-5.788111622,10.52153032,-5.95353,10.3191,-1.892714885,55,5.636495451,5.684933559,-135.1739256,-2.503335625,-10.54420737,28.89029323,-13.01192017,92.26,-0.441735919,3.4788133,-0.349593,3.51761,2346,2
6/2/18,180602_215959bal,bf3a20b2-ce61-4137-9316-c8098ac35585,6,4,547888,572073,5,Groundout,B,37,3.411,1.565,-6.39448,1.39589,FS,24,0.911,R,2,0,R,gid_2018_06_02_nyamlb_balmlb_1/,Ball,257.68,-1.77801,1,nya,0.079860824,-124.2904507,0.319995867,-6.209999421,1.655445072,-6.39448,1.39589,-1.849344016,55,5.645687317,8.554734365,-127.0624681,-4.524224675,-10.10768202,23.22515498,-29.4845211,86.88,0.933631676,0.812344438,1.03513,0.846899,1224,2
6/2/18,180602_220017bal,1269e9c3-b91a-41cf-af87-9607dbeaa840,6,5,547888,572073,5,Groundout,B,38,3.411,1.565,3.09484,-0.0401887,SL,24,0.905,R,2,1,R,gid_2018_06_02_nyamlb_balmlb_1/,Ball,89.255,-1.297,1,nya,0.0824016,-120.3619915,0.331590048,3.259974719,0.243589265,3.09484,-0.0401887,-2.084337124,55,5.518111626,6.803890468,-123.3345819,-2.145247758,4.941513744,24.14700328,-31.8097641,84.23,1.52014444,1.25444957,1.63015,1.29087,556,12
6/2/18,180602_220040bal,060b6339-ec31-4387-9467-edc3a4badaab,6,6,547888,572073,5,Groundout,X,39,3.411,1.565,-5.10977,10.1922,FF,18,0.906,R,2,2,R,gid_2018_06_02_nyamlb_balmlb_1/,"In play, out(s)",206.594,-0.28495,1,nya,0.074350232,-133.4572529,0.298454224,-4.951089447,10.38900208,-5.10977,10.1922,-2.00387954,55,5.396794086,8.493886516,-136.5693018,-5.224828508,-9.263904366,28.01119434,-12.74030418,93.36,0.697876967,2.188474094,0.79063,2.22499,2282,22
6/2/18,180602_220122bal,7ed75a00-80c4-43c9-84b6-bd82998c9a7a,2,1,547888,430945,6,Home Run,S,43,3.467,1.589,-6.67375,0.12039,FS,22,0.91,R,0,0,R,gid_2018_06_02_nyamlb_balmlb_1/,Called Strike,268.966,-0.878317,1,nya,0.078549789,-126.3276416,0.315238564,-6.493202667,0.376353614,-6.67375,0.12039,-1.935311046,55,5.543584143,6.392203635,-129.256939,-2.134329264,-10.89002875,24.9561082,-31.54780121,88.25,-0.189015701,1.668085423,-0.0912789,1.70326,1265,0
6/2/18,180602_220144bal,28c4abeb-e425-45f7-9a31-39e42c466d9c,2,2,547888,430945,6,Home Run,X,44,3.467,1.589,-4.55609,2.01796,FS,17,0.908,R,1,0,R,gid_2018_06_02_nyamlb_balmlb_1/,"In play, run(s)",246.099,-0.560981,1,nya,0.079091893,-125.4559232,0.317493388,-4.380200656,2.271353445,-4.55609,2.01796,-2.004758492,55,5.593543129,6.406205368,-128.3825766,-2.137085624,-7.242247852,24.76324283,-28.42353172,87.65,0.098932743,1.964881035,0.198722,2.00124,937,1
6/2/18,180602_220239bal,bc20a653-6691-4c78-b811-c84c756246c6,4,1,547888,592518,7,Strikeout,B,49,3.49,1.601,-3.79556,7.76976,FF,23,0.897,R,0,0,R,gid_2018_06_02_nyamlb_balmlb_1/,Ball,206.003,-2.03501,1,nya,0.076804276,-129.2489048,0.307595005,-3.632210733,7.988569193,-3.79556,7.76976,-2.018675264,55,5.445953378,6.841407967,-132.0951494,-7.675213192,-6.398250374,24.79496967,-18.10689087,90.34,0.300273513,0.588864907,0.396592,0.623433,1684,0
6/2/18,180602_220259bal,b2f5eef4-c5f6-493f-8e2e-cf6455775e4a,4,2,547888,592518,7,Strikeout,S,50,3.49,1.601,2.39647,1.32131,SL,12,0.907,R,0,1,R,gid_2018_06_02_nyamlb_balmlb_1/,Called Strike,118.885,0.414488,1,nya,0.082296531,-120.4641259,0.331932635,2.564265559,1.601104301,2.39647,1.32131,-2.081770121,55,5.439938616,3.954031347,-123.5938424,1.177457021,3.878929106,25.46107494,-29.75703163,84.32,0.117981287,2.897295024,0.225518,2.93698,490,10
6/2/18,180602_220319bal,8b13d410-7673-42ed-a9ca-40d689424aa5,4,3,547888,592518,7,Strikeout,S,51,3.49,1.601,-2.81629,7.58737,FF,18,0.684,R,1,1,R,gid_2018_06_02_nyamlb_balmlb_1/,Foul,200.329,-0.28264,1,nya,0.076119298,-130.5137062,0.303596494,-2.660123608,7.800742,-2.81629,7.58737,-2.129411632,55,5.400746616,7.692467852,-133.0824635,-3.796229074,-4.810132774,22.57048618,-18.07341309,90.93,0.662431323,2.241752416,0.758187,2.27855,1604,11
