Pitching Data for 547888 for game: gid_2018_06_08_nyamlb_nynmlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
6/8/18,180608_231743nyn,ad63b7f6-6551-4c1a-8edf-1ecd7139bad7,2,1,547888,607043,4,Home Run,S,26,3.49,1.601,2.06224,1.17705,SL,21,0.898,L,0,0,R,gid_2018_06_08_nyamlb_nynmlb_1/,Called Strike,119.73,-1.02195,1,nya,0.084527178,-117.3182361,0.340409932,2.188730596,1.405442187,2.06224,1.17705,-2.048666662,55,5.517570707,2.461819398,-120.2668131,-1.597833069,3.148013689,23.35126068,-30.1575766,82.02,-0.556991484,1.487921179,-0.506601,1.58027,414,0
6/8/18,180608_231808nyn,8736d389-2864-401d-86c4-8fa5fd2d1bb5,2,2,547888,607043,4,Home Run,X,27,3.49,1.601,-5.90616,8.17916,FF,12,0.911,L,1,0,R,gid_2018_06_08_nyamlb_nynmlb_1/,"In play, run(s)",215.806,-0.00343032,1,nya,0.076019365,-130.4646533,0.305937441,-5.756463527,8.319860793,-5.90616,8.17916,-1.911913588,55,5.510176666,7.134810007,-133.6938753,-3.632827448,-10.25036301,28.434217,-17.36407188,91.32,0.179216626,2.458307349,0.226417,2.54226,1959,1
6/8/18,180608_231853nyn,003c7203-6438-4200-aadb-6359a0b81a36,4,1,547888,452678,5,Strikeout,S,32,3.371,1.535,6.62538,-3.35167,SL,16,0.908,L,0,0,R,gid_2018_06_08_nyamlb_nynmlb_1/,Called Strike,63.1521,-0.652646,1,nya,0.084610602,-117.1588115,0.341434387,6.721602403,-3.091082742,6.62538,-3.35167,-2.169994072,55,5.482928407,1.436299001,-120.2346443,0.607329823,9.60963855,24.33941986,-36.59821228,81.99,-0.446599359,1.762455892,-0.393231,1.85387,1287,0
6/8/18,180608_231911nyn,84255e9b-c72b-489c-8e76-a29c10a374de,4,2,547888,452678,5,Strikeout,B,33,3.371,1.535,-6.18497,1.39455,FS,22,0.911,L,1,0,R,gid_2018_06_08_nyamlb_nynmlb_1/,Ball,257.288,-3.35257,1,nya,0.079807891,-124.4455001,0.318795163,-6.022760295,1.593041446,-6.18497,1.39455,-1.928577993,55,5.55721559,6.402258739,-127.0030391,-7.811164876,-9.876905106,21.43631508,-29.56652359,86.87,-0.07159144,-0.702252483,-0.0247312,-0.624657,1192,1
6/8/18,180608_231929nyn,ec7a30a5-22da-474e-96fa-f70f202e3016,4,3,547888,452678,5,Strikeout,S,34,3.371,1.535,-5.55599,1.17655,FS,24,0.909,L,1,1,R,gid_2018_06_08_nyamlb_nynmlb_1/,Swinging Strike,258.038,-1.01392,1,nya,0.079471256,-124.9886599,0.317235712,-5.399136478,1.37443626,-5.55599,1.17655,-1.781503583,55,5.652443086,7.872168621,-127.5092985,-3.142377418,-8.94146981,21.21520378,-29.90280632,87.13,0.801074839,1.439424578,0.850254,1.52222,1074,11
6/8/18,180608_231949nyn,8b87caa0-1858-4c1f-ac56-c86a48b9a8fb,4,4,547888,452678,5,Strikeout,S,35,3.371,1.535,-5.41435,0.126823,FS,22,0.909,L,2,1,R,gid_2018_06_08_nyamlb_nynmlb_1/,Foul Tip,268.658,-1.59636,1,nya,0.079038148,-125.6525115,0.315786114,-5.259600275,0.329431086,-5.41435,0.126823,-1.941462807,55,5.471036365,6.170482081,-128.2496991,-3.655595275,-8.790537498,21.98105576,-31.62841133,87.58,-0.091492444,0.9068672,-0.0444072,0.987537,1028,12
6/8/18,180608_232033nyn,baf5365d-4fa2-44e0-a881-7df50681bf1d,7,1,547888,624424,6,Strikeout,S,39,3.411,1.565,-5.1134,10.2408,FF,16,0.908,L,0,0,R,gid_2018_06_08_nyamlb_nynmlb_1/,Called Strike,206.502,-0.438681,1,nya,0.075364029,-131.6516196,0.302651277,-4.971383297,10.36554024,-5.1134,10.2408,-1.917265187,55,5.504325586,5.630025246,-134.7526649,-5.671448449,-9.045674942,27.53772499,-13.31839279,92.04,-0.359264091,2.000889297,-0.313338,2.0831,2253,0
6/8/18,180608_232047nyn,4aa92312-1128-462a-89b0-2ea7417d716b,7,2,547888,624424,6,Strikeout,B,40,3.411,1.565,-4.82188,1.36323,FS,22,0.909,L,1,0,R,gid_2018_06_08_nyamlb_nynmlb_1/,Ball,254.206,-1.6051,1,nya,0.079144435,-125.43257,0.316895624,-4.669807636,1.559476919,-4.82188,1.36323,-1.858352792,55,5.579592075,5.411597493,-128.1787976,-4.256559926,-7.750241898,23.21581795,-29.59081558,87.52,-0.237202314,0.925174831,-0.190464,1.0065,945,1
6/8/18,180608_232102nyn,72cd8463-b02c-4126-96be-b00ffb692444,7,3,547888,624424,6,Strikeout,B,41,3.411,1.565,-6.42783,9.24583,FF,15,0.904,L,1,1,R,gid_2018_06_08_nyamlb_nynmlb_1/,Ball,214.78,-0.661834,1,nya,0.074754469,-132.7361381,0.300070131,-6.280060572,9.373915932,-6.42783,9.24583,-1.894031835,55,5.551086886,3.920444547,-135.829692,-6.063588169,-11.62430634,27.69409515,-14.82800964,92.74,-1.265188952,1.797181841,-1.22248,1.87713,2236,11
6/8/18,180608_232119nyn,af1a5b9b-e683-4fe2-aedc-3fbeee370956,7,4,547888,624424,6,Strikeout,B,42,3.411,1.565,3.09562,0.721201,SL,20,0.908,L,1,2,R,gid_2018_06_08_nyamlb_nynmlb_1/,Ball,103.121,-0.896897,1,nya,0.08345982,-118.9244346,0.334511173,3.21075131,0.944665969,3.09562,0.721201,-2.059343167,55,5.481244088,1.195750824,-121.5956856,-1.451454751,4.782270767,21.41632034,-30.7719622,82.92,-1.005920002,1.56978643,-0.956595,1.66016,567,21
