Pitching Data for 547888 for game: gid_2018_07_15_nyamlb_clemlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
7/15/18,180715_172844cle,3ccd2ba5-4332-4242-abf6-2da5ef4d9295,2,1,547888,596019,7,Groundout,S,51,3.319,1.513,2.90208,0.433349,SL,15,0.914,L,0,0,R,gid_2018_07_15_nyamlb_clemlb_1/,Called Strike,98.4965,-0.206793,1,nya,0.084733139,-116.9681287,0.342266146,2.974993636,0.918239819,2.90208,0.433349,-1.654060362,55,5.517050284,0.809347079,-120.1027268,0.211970586,4.232596813,24.77072864,-30.87259756,81.89,-0.809511264,2.223826372,-0.92259,2.22927,510,0
7/15/18,180715_172901cle,6989cdbe-e0ed-4354-89bc-e19512e7ba01,2,2,547888,596019,7,Groundout,X,52,3.319,1.513,-5.91718,1.87857,FS,20,0.905,L,1,0,R,gid_2018_07_15_nyamlb_clemlb_1/,"In play, out(s)",252.378,-1.30906,1,nya,0.08030504,-123.5412567,0.322634941,-5.835759545,2.306271372,-5.91718,1.87857,-1.589843143,55,5.56349487,3.699562952,-126.4815641,-3.474520944,-9.343795837,24.50479846,-28.48636519,86.31,-0.867626106,1.23516763,-0.980677,1.23392,1151,1
7/15/18,180715_172940cle,5c8ede5a-5b11-47df-8af7-6b196c01d788,3,1,547888,488726,8,Lineout,B,56,3.44,1.53,-4.90115,7.75341,FF,22,0.894,L,0,0,R,gid_2018_07_15_nyamlb_clemlb_1/,Ball,212.269,-1.29281,1,nya,0.076639648,-129.4865579,0.30744114,-4.827188767,8.127832779,-4.90115,7.75341,-1.618916814,55,5.45394099,5.361417664,-132.457989,-6.18620017,-8.511754097,25.94500499,-17.84723936,90.48,-0.114361532,1.2546708,-0.224492,1.25036,1788,0
7/15/18,180715_172959cle,0ec68238-63f4-4dbc-b151-5aadf573af1d,3,2,547888,488726,8,Lineout,S,57,3.44,1.53,2.21467,-0.582486,SL,22,0.861,L,0,1,R,gid_2018_07_15_nyamlb_clemlb_1/,Called Strike,75.256,-0.952328,1,nya,0.084477666,-117.429036,0.339555824,2.287538787,-0.1034618,2.21467,-0.582486,-1.671497285,55,5.505100584,2.949295015,-120.254227,-0.915879913,3.306700407,22.38335376,-32.32855688,82.02,0.060881762,1.571786354,-0.0508922,1.57553,404,10
7/15/18,180715_173027cle,b5e339b1-8ec2-4bc1-b33b-a7235b16f660,3,3,547888,488726,8,Lineout,X,58,3.44,1.53,1.39475,0.417476,SL,16,0.895,L,1,1,R,gid_2018_07_15_nyamlb_clemlb_1/,"In play, out(s)",106.671,-0.593316,1,nya,0.083801425,-118.2239199,0.339199987,1.468828082,0.893704505,1.39475,0.417476,-1.654284446,55,5.510363297,2.730525503,-121.5262089,-0.574460318,2.127688585,26.39080768,-30.88441359,82.88,-0.157062574,1.914289647,-0.26921,1.91838,255,11
7/15/18,180715_173053cle,9496cf8f-dce5-4494-8cc9-7583fe8e3690,4,1,547888,608070,9,Strikeout,S,62,3.44,1.53,3.0376,-5.21398,CU,16,0.923,L,0,0,R,gid_2018_07_15_nyamlb_clemlb_1/,Called Strike,30.1941,-0.357366,1,nya,0.091375494,-108.5812305,0.366977384,3.123531856,-4.649207604,3.0376,-5.21398,-1.516206599,55,5.598431348,1.612466279,-111.1432197,2.66623288,3.865592657,18.76438861,-37.93272482,75.81,-0.214311134,2.132530566,-0.329769,2.14372,986,0
7/15/18,180715_173106cle,bbf7f2b6-41c1-4e0b-8140-2ef734266179,4,2,547888,608070,9,Strikeout,B,63,3.44,1.53,-4.2365,7.78525,FF,2,0.896,L,1,0,R,gid_2018_07_15_nyamlb_clemlb_1/,Ball,208.523,1.67115,1,nya,0.076000326,-130.5828372,0.304788922,-4.164969903,8.152619952,-4.2365,7.78525,-1.668918288,55,5.552857054,5.896884111,-133.5583415,0.156006891,-7.472436966,26.19844012,-17.55225836,91.15,0.144175245,4.082068144,0.0349227,4.08095,1743,1
7/15/18,180715_173124cle,35dd980d-a557-4e36-bf4a-fd83e300e9e2,4,3,547888,608070,9,Strikeout,S,64,3.44,1.53,-6.00736,1.63377,FS,15,0.9,L,1,1,R,gid_2018_07_15_nyamlb_clemlb_1/,Called Strike,254.778,-0.395587,1,nya,0.079694547,-124.5998267,0.318648895,-5.927302714,2.051332371,-6.00736,1.63377,-1.579744754,55,5.526995054,3.964520685,-127.228533,-1.502733132,-9.729287209,22.06609302,-28.81186949,86.79,-0.77647077,2.108285149,-0.889048,2.10721,1176,11
7/15/18,180715_173141cle,dda09b9f-65c6-4cfe-b1fd-c7cd3e14bd03,4,4,547888,608070,9,Strikeout,S,65,3.44,1.53,-6.57608,2.08399,FS,21,0.899,L,2,1,R,gid_2018_07_15_nyamlb_clemlb_1/,Foul Tip,252.408,-1.7554,1,nya,0.080107298,-123.9595713,0.320275381,-6.494320216,2.504981758,-6.57608,2.08399,-1.567987875,55,5.504593566,5.077474688,-126.5695412,-4.482874337,-10.55201346,21.79578166,-28.10888945,86.42,-0.355325619,0.810866614,-0.467622,0.80859,1296,12
7/15/18,180715_174241cle,542ba3f8-9230-4516-93f3-52723f01aade,4,1,547888,429665,13,Groundout,S,94,3.48,1.58,-1.97099,7.35841,FC,13,0.88,R,0,0,R,gid_2018_07_15_nyamlb_clemlb_1/,Foul,194.957,0.337479,2,nya,0.07808675,-127.090001,0.313205618,-1.901386228,7.749140072,-1.97099,7.35841,-1.599609796,55,5.45362678,5.556076224,-129.9971809,-1.967371517,-3.230427565,24.9132896,-19.01332365,88.73,0.490411381,2.850942655,0.381178,2.85061,1458,0
7/15/18,180715_174314cle,dee06535-155e-4f6d-ace3-e926d94dc745,4,2,547888,429665,13,Groundout,B,95,3.371,1.535,1.77153,0.181066,SL,19,0.87,R,1,0,R,gid_2018_07_15_nyamlb_clemlb_1/,Ball,95.8378,-0.193468,2,nya,0.084132802,-117.8281065,0.339444839,1.845082196,0.658420233,1.77153,0.181066,-1.563734707,55,5.516663758,6.12029409,-120.9096988,0.282799655,2.668861567,24.52308612,-31.22661292,82.54,1.571495095,2.270716561,1.46157,2.2754,312,1
7/15/18,180715_174328cle,7da168b9-4e60-4062-97cf-ae9d700521e0,4,3,547888,429665,13,Groundout,S,96,3.371,1.535,-9.33119,4.90796,FS,16,0.896,R,1,1,R,gid_2018_07_15_nyamlb_clemlb_1/,Foul,242.243,-0.563279,2,nya,0.078045876,-127.0817427,0.314030725,-9.245186328,5.306095877,-9.33119,4.90796,-1.741029297,55,5.421303214,6.578406373,-130.2131674,-3.091457777,-15.62500388,26.85665469,-23.21133124,88.92,-0.356937028,1.937905731,-0.468907,1.93591,2005,11
7/15/18,180715_174358cle,a5efe520-28bb-48a1-9ae7-f4bb73452db5,4,4,547888,429665,13,Groundout,X,97,3.371,1.535,3.38475,-1.60525,SL,23,0.894,R,2,1,R,gid_2018_07_15_nyamlb_clemlb_1/,"In play, out(s)",64.6136,-1.1123,2,nya,0.082990746,-119.4006838,0.335582451,3.453378562,-1.135354564,3.38475,-1.60525,-1.59846811,55,5.425397633,3.099670016,-122.6700668,-0.915984634,5.110865532,26.38073306,-33.85928046,83.67,0.365440251,1.429807076,0.25476,1.43191,663,12
7/15/18,180715_174442cle,ac8169bf-e4b0-4c89-83be-a197b5b4bcdd,5,1,547888,475174,14,Strikeout,S,101,3.48,1.58,-6.27839,9.35843,FF,16,0.907,L,0,0,R,gid_2018_07_15_nyamlb_clemlb_1/,Called Strike,213.829,-0.678958,2,nya,0.076185507,-130.1857639,0.306534827,-6.201499801,9.726640366,-6.27839,9.35843,-1.64147428,55,5.449916793,4.909822935,-133.3912142,-5.335635636,-10.99982649,28.16276317,-14.92650305,91.08,-0.549432317,1.888360075,-0.660364,1.88499,2195,0
7/15/18,180715_174501cle,1cd8693f-4149-45c9-9770-799b6614436d,5,2,547888,475174,14,Strikeout,S,102,3.48,1.58,2.39818,-0.296737,SL,22,0.905,L,1,0,R,gid_2018_07_15_nyamlb_clemlb_1/,Foul,82.942,-1.13572,2,nya,0.083366247,-118.8271612,0.337654267,2.469652469,0.176468294,2.39818,-0.296737,-1.623483499,55,5.442042755,2.425693231,-122.1879985,-1.266764214,3.610273539,27.00042491,-31.92102896,83.33,-0.117007,1.448123978,-0.228745,1.45106,424,1
7/15/18,180715_174528cle,373a9491-d1c2-4d6d-8744-680d018f4c1a,5,3,547888,475174,14,Strikeout,B,103,3.48,1.58,-7.79659,2.6808,FS,21,0.897,L,2,0,R,gid_2018_07_15_nyamlb_clemlb_1/,Ball,251.015,-2.30105,2,nya,0.079147728,-125.3992619,0.317286914,-7.713115749,3.092502734,-7.79659,2.6808,-1.607760959,55,5.489255455,6.083061679,-128.2290374,-5.91106033,-12.76951128,23.92370563,-27.05918204,87.62,-0.169486791,0.347770064,-0.281401,0.343999,1559,2
7/15/18,180715_174555cle,15a02227-b471-4797-88c2-8fa983559f16,5,4,547888,475174,14,Strikeout,B,104,3.371,1.535,-5.15446,9.42097,FF,21,0.907,L,2,1,R,gid_2018_07_15_nyamlb_clemlb_1/,Ball,208.653,-1.69501,2,nya,0.074681465,-132.8298405,0.300213348,-5.082305129,9.772450448,-5.15446,9.42097,-1.606039663,55,5.392796452,4.82070194,-136.0337436,-7.996864714,-9.398304047,28.71376186,-14.10758196,92.97,-0.417761396,0.90362961,-0.527654,0.896978,2138,12
