Pitching Data for 547888 for game: gid_2018_08_10_texmlb_nyamlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
8/10/18,180810_231003nya,6d8b2cc6-b8af-44bf-9ad8-6d349e0f19b9,6,1,547888,425783,1,Flyout,B,3,3.319,1.513,-5.6637,8.33663,FF,0,0.906,L,0,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,214.163,1.82815,1,nya,0.076047909,-130.4056886,0.306178707,-5.566747328,8.364466309,-5.6637,8.33663,-1.877681731,55,5.304522406,3.556375917,-133.663448,0.574889626,-9.896925247,28.67579099,-17.30810809,91.17,-1.256782361,4.020856038,-1.30532,4.06682,1963,0
8/10/18,180810_231018nya,48a4ec32-3ee6-4c61-a263-fccd4f817571,6,2,547888,425783,1,Flyout,S,4,3.319,1.513,-5.62261,9.332,FF,10,0.907,L,0,1,R,gid_2018_08_10_texmlb_nyamlb_1/,Called Strike,211.04,0.1213,1,nya,0.07607343,-130.3929296,0.305890012,-5.525768098,9.361208185,-5.62261,9.332,-1.924362996,55,5.3306381,4.187324097,-133.5573688,-3.544986575,-9.842622078,27.84182187,-15.50460601,91.14,-1.033831467,2.478811394,-1.08259,2.52553,2128,10
8/10/18,180810_231034nya,5980c261-931e-46af-afbc-f04c1aeed0ee,6,3,547888,425783,1,Flyout,B,5,3.319,1.513,0.465197,2.74845,SL,22,0.915,L,1,1,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,170.434,-1.46147,1,nya,0.083476843,-118.7650401,0.33662877,0.593153566,2.772256621,0.465197,2.74845,-1.997078084,55,5.256735783,3.800779218,-121.8379957,-2.646867695,0.872395539,24.64541455,-28.10163379,83.13,-0.150904388,1.045559861,-0.191033,1.09629,493,11
8/10/18,180810_231049nya,4ff91547-b2c8-4c1a-a363-d99f7686d708,6,4,547888,425783,1,Flyout,B,6,3.319,1.513,-4.57904,1.52663,FS,22,0.91,L,1,2,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,251.553,-1.73793,1,nya,0.079841442,-124.3258254,0.319846942,-4.471471768,1.546195421,-4.57904,1.52663,-1.712791104,55,5.444956571,5.768473865,-127.0830214,-4.070457011,-7.28475312,23.10611554,-29.65999675,86.78,0.118047542,0.797039958,0.0732646,0.846652,906,21
8/10/18,180810_231107nya,615040db-c16b-4901-b265-666c0d6cde63,6,5,547888,425783,1,Flyout,S,7,3.319,1.513,-6.22948,8.67874,FF,11,0.907,L,1,3,R,gid_2018_08_10_texmlb_nyamlb_1/,Foul,215.643,0.00250038,1,nya,0.075669567,-131.090759,0.304242425,-6.134554184,8.706709059,-6.22948,8.67874,-1.79766557,55,5.221296063,5.771223064,-134.2664379,-3.385862183,-11.04567365,28.08964177,-16.50199008,91.66,-0.351083036,2.371606114,-0.400631,2.41826,2098,31
8/10/18,180810_231140nya,61215b41-dc23-4afd-817c-5a4adb0e7a9d,6,6,547888,425783,1,Flyout,X,8,3.319,1.513,1.43802,1.98978,SL,12,0.909,L,2,3,R,gid_2018_08_10_texmlb_nyamlb_1/,"In play, out(s)",144.171,0.145753,1,nya,0.081783864,-121.2891861,0.32884073,1.56174531,2.011229072,1.43802,1.98978,-1.834843157,55,5.288981217,3.358135521,-124.2304569,0.370608089,2.40706464,24.0713255,-29.07916141,84.73,-0.075401687,2.49840839,-0.117947,2.54761,446,32
8/10/18,180810_231219nya,36ecb977-ffe0-4744-bc91-3f84357ae99c,6,1,547888,596059,2,Walk,B,12,3.09,1.34,-5.09252,6.93758,FF,0,0.886,L,0,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,216.253,2.16926,1,nya,0.076292734,-130.0319252,0.306596966,-4.994460806,6.963438291,-5.09252,6.93758,-1.740070382,55,5.291091959,1.809286618,-133.1461595,1.260262689,-8.855266846,27.31994077,-19.83270145,90.79,-1.76232428,4.067015584,-1.81038,4.1131,1678,0
8/10/18,180810_231243nya,e61fe75c-fd80-49b7-9b2b-e71555fb7728,6,2,547888,596059,2,Walk,B,13,3.09,1.34,1.61582,2.2737,SL,0,0.919,L,0,1,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,144.627,1.35924,1,nya,0.084294227,-117.7976142,0.337088321,1.746130082,2.296714156,1.61582,2.2737,-1.930753262,55,5.284371181,0.469067908,-120.2923457,2.504553593,2.561167204,19.79901715,-28.81025386,82.04,-1.438911564,3.355012041,-1.47793,3.40433,498,10
8/10/18,180810_231304nya,e0413b81-ba3f-42f0-a249-f01b8f280c51,6,3,547888,596059,2,Walk,B,14,3.09,1.34,-5.87334,0.222344,FS,5,0.903,L,0,2,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,267.831,1.32594,1,nya,0.083318435,-119.0985277,0.33435942,-5.758003086,0.241475356,-5.87334,0.222344,-1.756064188,55,5.358678193,2.980344151,-121.8568304,2.870046061,-8.584075249,22.15426083,-31.81900668,83.13,-1.292203513,3.32583214,-1.33138,3.3752,1053,20
8/10/18,180810_231322nya,d26e92d9-a6ab-4b3e-ba14-e2a3f8867bd3,6,4,547888,596059,2,Walk,S,15,3.09,1.34,-5.76164,6.18213,FF,16,0.877,L,0,3,R,gid_2018_08_10_texmlb_nyamlb_1/,Called Strike,222.96,0.0120503,1,nya,0.076309603,-130.0912831,0.3055573,-5.665192474,6.206705981,-5.76164,6.18213,-1.76418378,55,5.22109001,5.236712076,-132.9424866,-2.824366844,-10.11295537,24.99876042,-21.09938693,90.73,-0.457115571,2.178464969,-0.506113,2.22554,1660,30
8/10/18,180810_231347nya,fe10e082-eadb-4da3-a428-589a9fc2243f,6,5,547888,596059,2,Walk,S,16,3.09,1.34,-6.9606,7.29877,FF,16,0.894,L,1,3,R,gid_2018_08_10_texmlb_nyamlb_1/,Foul,223.618,-0.307996,1,nya,0.076418167,-129.8752222,0.3063842,-6.865371337,7.325102109,-6.9606,7.29877,-1.75681516,55,5.263334005,5.236335136,-132.8154325,-3.968881967,-12.1893361,25.74552556,-19.17342067,90.67,-0.632587681,1.898281086,-0.681137,1.9455,1973,31
8/10/18,180810_231409nya,3b980007-aa0d-4bda-a52a-83adc10a68ee,6,6,547888,596059,2,Walk,B,17,3.09,1.34,-4.68898,4.3984,FS,0,0.933,L,2,3,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,226.81,3.18146,1,nya,0.080343765,-123.5113205,0.322376568,-4.579879273,4.422871646,-4.68898,4.3984,-1.624055242,55,5.38187016,3.424093411,-126.3620561,4.577343592,-7.344730175,23.74409695,-25.08606219,86.24,-0.82797736,4.951768032,-0.871348,4.99878,1194,32
8/10/18,180810_231450nya,875d7a0d-b213-4bc7-bace-6a6288498cd2,3,1,547888,462101,3,Flyout,B,21,3.28,1.44,-1.09659,6.67945,FC,24,0.884,R,0,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,189.282,-0.89599,1,nya,0.078283734,-126.8521813,0.31291853,-0.988375635,6.705945566,-1.09659,6.67945,-1.83317878,55,5.224471387,8.148674443,-129.5078735,-4.22767803,-1.682318485,22.69377919,-20.76478076,88.52,1.514765403,1.487672859,1.46662,1.53569,1301,0
8/10/18,180810_231513nya,662c2a60-f6c3-45ab-bfae-f851e1e9f932,3,2,547888,462101,3,Flyout,B,22,3.28,1.44,-7.92709,3.21,FS,2,0.729,R,0,1,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,247.944,1.37222,1,nya,0.076936833,-129.0697106,0.307575246,-7.832512296,3.230551565,-7.92709,3.21,-1.794012365,55,5.146988368,6.942139571,-131.7814818,1.878383846,-13.79898289,23.57895871,-26.48755336,89.98,-0.092471143,3.575757866,-0.140805,3.62244,1672,10
8/10/18,180810_231611nya,0ed3fa5b-58bd-493b-8e68-fca0ef6171b1,3,3,547888,462101,3,Flyout,X,24,3.28,1.44,-4.67976,8.06157,FF,19,0.907,R,0,2,R,gid_2018_08_10_texmlb_nyamlb_1/,"In play, out(s)",210.105,-0.135589,1,nya,0.075902877,-130.8106221,0.303654347,-4.582964372,8.088508161,-4.67976,8.06157,-1.689470197,55,5.24225167,7.834073634,-133.6108428,-3.659403882,-8.283926285,24.68128224,-17.55863643,91.29,0.857564736,2.188479589,0.807203,2.23526,1845,20
8/10/18,180810_231652nya,68e7062a-b968-45fb-bd7d-530c08885565,3,1,547888,134181,4,Groundout,S,28,3.319,1.513,-4.18408,9.01123,FF,18,0.907,R,0,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Swinging Strike,204.873,-0.499173,1,nya,0.076203887,-130.2791863,0.305041524,-4.085693156,9.039783956,-4.18408,9.01123,-1.624483878,55,5.297788501,7.163906083,-133.1122135,-4.71801333,-7.31807021,24.87316724,-15.9874332,90.95,0.734553787,1.91826678,0.684687,1.96525,1956,0
8/10/18,180810_231718nya,8ea9c3c3-1991-4b33-9029-20740a5ed099,3,2,547888,134181,4,Groundout,S,29,3.319,1.513,4.42604,0.173937,SL,19,0.921,R,1,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Swinging Strike,92.2512,-0.619382,1,nya,0.08374593,-118.5686087,0.334899363,4.559493158,0.193046178,4.42604,0.173937,-1.858691242,55,5.194138342,5.248018992,-121.080401,-0.026935842,6.775427067,20.06495114,-31.89213252,82.63,1.272902344,1.806392313,1.23118,1.8567,795,1
8/10/18,180810_231817nya,0da8179e-51ae-460a-88f6-19ac2b6e338d,3,3,547888,134181,4,Groundout,X,31,3.319,1.513,5.98299,-1.0245,SL,24,0.922,R,2,0,R,gid_2018_08_10_texmlb_nyamlb_1/,"In play, out(s)",80.2779,-1.12401,1,nya,0.083898345,-118.3225942,0.335969954,6.12000623,-1.007346104,5.98299,-1.0245,-1.869493323,55,5.162220858,3.833973797,-120.9210264,-0.496289051,9.036489212,20.72194501,-33.6663959,82.49,0.861088207,1.350220902,0.819762,1.40102,1085,2
8/10/18,180810_232648nya,bfae2c56-ef35-443e-91ff-d9d59c6dfe5c,11,1,547888,595777,8,Groundout,S,59,3.371,1.535,-3.85934,8.75638,FF,11,0.904,L,0,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Swinging Strike,203.752,0.294619,2,nya,0.076445912,-129.7792452,0.307112649,-3.759151257,8.784979558,-3.85934,8.75638,-1.681282161,55,5.301594754,3.627785916,-132.8638093,-2.721201737,-6.642677105,27.00464459,-16.65534091,90.64,-0.742384922,2.676718522,-0.790903,2.72346,1863,0
8/10/18,180810_232712nya,0fccbeae-6ac3-404b-ae2e-dacbd31de4de,11,2,547888,595777,8,Groundout,S,60,3.371,1.535,-3.30446,0.690927,FS,15,0.909,L,1,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Foul,258.185,-0.312299,2,nya,0.080371673,-123.5081816,0.32193552,-3.19344303,0.709410172,-3.30446,0.690927,-1.680916224,55,5.444146278,3.19521195,-126.2395578,-0.665768219,-5.135350979,22.73850079,-31.038203,86.1,-0.770214064,2.117228204,-0.813891,2.16631,629,1
8/10/18,180810_232731nya,3549f755-dfc9-47a0-a8d9-f86570b33d92,11,3,547888,595777,8,Groundout,S,61,3.371,1.535,2.58766,0.523593,SL,24,0.914,L,2,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Foul,101.444,-0.750825,2,nya,0.083480808,-118.7439199,0.336882489,2.71952302,0.54354293,2.58766,0.523593,-1.797182566,55,5.266154474,4.889538275,-121.8627788,-0.455522372,3.993784391,25.01394482,-31.38077426,83.16,0.885074691,1.713196756,0.844234,1.76374,466,2
8/10/18,180810_232756nya,21923566-2f94-4cc4-bfeb-d4eea48235b2,11,4,547888,595777,8,Groundout,S,62,3.371,1.535,-4.18165,1.60523,FS,11,0.915,L,2,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Foul,248.989,0.0405709,2,nya,0.080002775,-124.1099162,0.320016055,-4.073331332,1.624935121,-4.18165,1.60523,-1.686660192,55,5.464779062,3.648978178,-126.7578777,-0.385504709,-6.629105843,22.14294263,-29.53451419,86.46,-0.72310203,2.441591246,-0.767319,2.49024,841,2
8/10/18,180810_232825nya,6b05ae35-764e-4e96-aa38-9f4c15ad4852,11,5,547888,595777,8,Groundout,B,63,3.371,1.535,-4.60208,8.54643,FF,20,0.907,L,2,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,208.27,-1.37503,2,nya,0.074857266,-132.4980277,0.30116256,-4.506786921,8.573657619,-4.60208,8.54643,-1.650092747,55,5.29934338,2.093483215,-135.7535283,-6.670882603,-8.28159169,29.10977002,-16.42419887,92.68,-1.491769206,1.143603974,-1.54179,1.19073,1924,2
8/10/18,180810_232842nya,5bfc74b6-88fe-473d-8330-7028bda97fa0,11,6,547888,595777,8,Groundout,S,64,3.371,1.535,2.29771,-0.723367,SL,22,0.901,L,2,1,R,gid_2018_08_10_texmlb_nyamlb_1/,Foul,72.5153,-1.92735,2,nya,0.082310789,-120.3565995,0.333292511,2.426288972,-0.705980697,2.29771,-0.723367,-1.896218485,55,5.220789888,3.737307128,-123.7434779,-2.476010194,3.640325033,27.55790921,-33.23823047,84.43,0.187496024,0.632667421,0.145892,0.683689,428,12
8/10/18,180810_232912nya,2fe88ca3-9bca-46e6-90ff-d565c61e70b7,11,7,547888,595777,8,Groundout,S,65,3.371,1.535,-4.13794,10.7481,FF,9,0.907,L,2,1,R,gid_2018_08_10_texmlb_nyamlb_1/,Foul,201.021,0.56904,2,nya,0.0758931,-130.7028122,0.305164212,-4.039425883,10.77918269,-4.13794,10.7481,-1.761857698,55,5.229263306,7.541205888,-133.874605,-2.798454399,-7.229382313,27.9728243,-12.88743854,91.44,0.761276904,2.929134304,0.711262,2.97538,2254,12
8/10/18,180810_232952nya,ef435b8d-21ed-436e-b0b5-a668d77d34ed,11,8,547888,595777,8,Groundout,B,66,3.371,1.535,3.09699,-1.61666,SL,24,0.883,L,2,1,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,62.4205,-1.7219,2,nya,0.082613523,-120.034022,0.332729638,3.226487649,-1.600851992,3.09699,-1.61666,-1.885177084,55,5.255303458,5.386555199,-123.0561599,-1.832016958,4.857309544,24.48840161,-34.58899951,83.99,1.077143229,0.82133104,1.03484,0.872293,626,12
8/10/18,180810_233012nya,3011df16-e06d-489b-ae95-58e5135096ef,11,9,547888,595777,8,Groundout,S,67,3.371,1.535,-5.84711,3.1564,FS,22,0.906,L,2,2,R,gid_2018_08_10_texmlb_nyamlb_1/,Foul,241.625,-0.988815,2,nya,0.079355729,-125.1074618,0.317621957,-5.743005629,3.17821913,-5.84711,3.1564,-1.70568145,55,5.418072982,5.722545123,-127.8199527,-3.116360398,-9.48783139,22.86877652,-26.92836833,87.26,-0.112086312,1.496430988,-0.157308,1.54527,1257,22
8/10/18,180810_233043nya,218b4b0c-c83e-46e0-94f7-84cc9ccc8e9c,11,10,547888,595777,8,Groundout,B,68,3.371,1.535,-9.71321,5.72457,SI,24,0.906,L,2,2,R,gid_2018_08_10_texmlb_nyamlb_1/,Ball,239.471,-0.753488,2,nya,0.07536948,-131.6514889,0.302557638,-9.624263774,5.748029856,-9.71321,5.72457,-1.681058666,55,5.129487841,10.67756277,-134.7243546,-3.718515079,-17.52265958,27.2845728,-21.71370387,92.18,1.241814982,1.714219558,1.19125,1.7613,2230,22
8/10/18,180810_233105nya,e684e0e1-32b2-4f9b-ab2c-9893e682fb20,11,11,547888,595777,8,Groundout,X,69,3.371,1.535,-7.22585,3.68288,FS,22,0.9,L,2,3,R,gid_2018_08_10_texmlb_nyamlb_1/,"In play, out(s)",242.979,-1.50741,2,nya,0.079109276,-125.4931862,0.316689535,-7.124487058,3.705389213,-7.22585,3.68288,-1.693306018,55,5.342449775,6.282367556,-128.2261304,-4.279021128,-11.83954266,23.11335774,-26.02134776,87.58,-0.080726847,1.020259868,-0.126137,1.0692,1538,32
8/10/18,180810_233135nya,ef62da90-62db-49dd-8f1e-de4cb3af4d70,4,1,547888,608597,9,Groundout,S,73,3.575,1.681,5.37811,-3.82807,CU,12,0.863,L,0,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Called Strike,54.539,0.00354544,2,nya,0.090087637,-110.1019648,0.362360945,5.536257712,-3.813750386,5.37811,-3.82807,-1.620992726,55,5.311369488,1.847969309,-112.7943409,3.699277442,7.027199471,20.0040228,-37.01981235,76.96,0.165068753,2.578540176,0.132381,2.63136,1088,0
8/10/18,180810_233148nya,9cdeb34b-a2bc-46d4-95c1-2540585eb738,4,2,547888,608597,9,Groundout,S,74,3.575,1.681,-6.4551,1.92448,FS,20,0.9,L,1,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Swinging Strike,253.391,-1.63171,2,nya,0.079743866,-124.462517,0.319667158,-6.350604746,1.944644221,-6.4551,1.92448,-1.782888473,55,5.334016538,4.522666198,-127.269061,-3.435172459,-10.35780648,23.54985829,-29.00729442,86.86,-0.795517625,1.033423469,-0.839694,1.08277,1263,1
8/10/18,180810_233206nya,e31efe92-6f1d-4d8b-94a7-bf3d0a06bf73,4,3,547888,608597,9,Groundout,S,75,3.575,1.681,-6.01543,8.27675,FF,0,0.906,L,2,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Foul,215.982,1.19153,2,nya,0.075609501,-131.1140872,0.305012813,-5.919729071,8.304300101,-6.01543,8.27675,-1.706154981,55,5.28602066,3.751813761,-134.5327577,-0.154478974,-10.60509137,30.27196713,-17.30199123,91.76,-1.064339312,3.710340539,-1.11328,3.75638,1996,2
8/10/18,180810_233233nya,b70965fa-861f-4c2b-a2cb-8866b19555d8,4,4,547888,608597,9,Groundout,X,76,3.575,1.681,-6.19645,1.66312,FS,21,0.9,L,2,0,R,gid_2018_08_10_texmlb_nyamlb_1/,"In play, out(s)",254.969,-0.841701,2,nya,0.079626665,-124.6348305,0.319346005,-6.091768262,1.682841131,-6.19645,1.66312,-1.756526459,55,5.37449557,4.822171485,-127.4779061,-1.745898033,-9.95563916,23.8925192,-29.42877078,86.99,-0.599224926,1.78198385,-0.643641,1.83091,1204,2
8/10/18,180810_233307nya,d6e974ff-52b6-4c29-9057-758f0d10ff8a,3,1,547888,641432,10,Strikeout,S,80,3.26,1.481,6.5711,-3.90535,CU,11,0.876,L,0,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Called Strike,59.2602,0.125022,2,nya,0.091713029,-108.1455543,0.368992698,6.737557705,-3.890653175,6.5711,-3.90535,-1.758188289,55,5.33453639,-0.042421531,-110.8054486,3.602447535,8.24737426,19.41288396,-36.94150806,75.59,-0.72381498,2.428100987,-0.754074,2.48171,1237,0
8/10/18,180810_233323nya,39a1068c-d778-4181-abe3-9f69c412e293,3,2,547888,641432,10,Strikeout,S,81,3.26,1.481,-7.88796,3.3924,FS,22,0.898,L,1,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Swinging Strike,246.717,-1.89889,2,nya,0.079832787,-124.3223126,0.320045189,-7.785480581,3.41493401,-7.88796,3.3924,-1.750875462,55,5.374855146,6.832281862,-127.1304113,-4.947093504,-12.66810254,23.53680249,-26.62240863,86.87,0.028234454,0.631924563,-0.016159,0.681435,1609,1
8/10/18,180810_233344nya,b5fffd63-739b-4064-9d6f-73367932680d,3,3,547888,641432,10,Strikeout,S,82,3.26,1.481,-5.24964,1.86196,FS,22,0.905,L,2,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Swinging Strike,250.462,-1.40238,2,nya,0.08015754,-123.8789893,0.320515789,-5.142672505,1.882135791,-5.24964,1.86196,-1.770865427,55,5.325888358,6.034877179,-126.4959187,-3.244340072,-8.343317307,21.84044858,-29.12547946,86.37,0.077634698,1.073678835,0.0331589,1.12308,1045,2
8/10/18,180810_234128nya,19a9e7e6-b4c7-413d-aa9d-4958182ba80b,2,1,547888,643396,14,Flyout,S,105,3.301,1.504,-3.13164,5.75082,FS,16,0.848,R,0,0,R,gid_2018_08_10_texmlb_nyamlb_1/,Called Strike,208.54,-0.5087,3,nya,0.078581775,-126.3215293,0.314764103,-3.02525787,5.776223873,-3.13164,5.75082,-1.830964509,55,5.324143927,3.921469359,-129.1147082,-3.074386854,-5.089097298,23.78263684,-22.46221996,88.1,-0.611406293,1.897363007,-0.657598,1.94543,1249,0
