Pitching Data for 547888 for game: gid_2018_08_21_nyamlb_miamlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
8/21/18,180821_231617mia,a3d378da-195c-4ee7-b13b-36f712adbae4,7,1,547888,542364,4,Walk,B,24,2.91169,1.46763,-5.35964,9.92747,FF,0,0.914,L,0,0,R,gid_2018_08_21_nyamlb_miamlb_1/,Ball,208.333,1.77454,1,nya,0.076087974,-130.3700601,0.305922595,-4.985533533,9.801753771,-5.35964,9.92747,-1.745660719,55,5.59332976,4.250225736,-133.5277787,-2.077987791,-8.87845266,27.77717038,-14.72361508,91.1,-0.743854542,3.425253851,-0.715389,3.47093,2186,0
8/21/18,180821_231632mia,32976cad-8bbd-4f78-93e2-25131c6a08c8,7,2,547888,542364,4,Walk,S,25,3.05107,1.49088,-5.75098,10.163,FF,17,0.912,L,0,1,R,gid_2018_08_21_nyamlb_miamlb_1/,Foul,209.474,-0.368892,1,nya,0.076247822,-130.1193459,0.306279794,-5.372306909,10.03490112,-5.75098,10.163,-1.717448498,55,5.507121097,5.967490499,-133.2031807,-5.466383911,-9.544932724,27.0681059,-14.35007516,90.99,-0.052562704,1.943197759,-0.0215768,1.98321,2263,10
8/21/18,180821_231655mia,c8bc483c-f8aa-4627-8d1f-0958c1363b41,7,3,547888,542364,4,Walk,S,26,3.0743,1.42114,-7.56839,3.25822,FS,21,0.892,L,1,1,R,gid_2018_08_21_nyamlb_miamlb_1/,Foul,246.696,-0.598493,1,nya,0.079476499,-124.9273378,0.317970401,-7.143827551,3.193166819,-7.56839,3.25822,-1.599892826,55,5.569096523,4.916350164,-127.605961,-2.9385363,-11.77623117,22.54805203,-26.91522923,87.09,-0.575841381,1.718440676,-0.549004,1.75302,1545,11
8/21/18,180821_231712mia,e0de3ae8-5d76-4684-96f6-12729ab81209,7,4,547888,542364,4,Walk,B,27,3.02784,1.46763,1.819,2.20993,SL,24,0.912,L,2,1,R,gid_2018_08_21_nyamlb_miamlb_1/,Ball,140.567,-1.3105,1,nya,0.082038271,-120.7004358,0.33303461,2.181222751,2.150619953,1.819,2.20993,-1.877977616,55,5.335308886,6.591080777,-124.2649093,-2.500311707,3.277706264,29.10574933,-28.94728032,84.86,1.464272434,1.193455221,1.50842,1.22542,503,12
8/21/18,180821_231730mia,1d0b42cb-587e-4d4c-af1e-7a1b63dc6587,7,5,547888,542364,4,Walk,S,28,3.05107,1.53738,-6.47515,10.4314,FF,18,0.91,L,2,2,R,gid_2018_08_21_nyamlb_miamlb_1/,Foul,211.8,-0.212525,1,nya,0.075852605,-130.7823524,0.304879157,-6.092737841,10.30146516,-6.47515,10.4314,-1.597811512,55,5.291901217,7.385920496,-133.9267791,-4.785667063,-10.92460573,27.74528142,-13.70792046,91.51,0.535695109,2.091749566,0.568171,2.13338,2388,22
8/21/18,180821_231750mia,b3378bd0-f94e-4777-9981-c0dcc67d4f31,7,6,547888,542364,4,Walk,B,29,3.00461,1.42114,-6.29314,3.22055,FS,22,0.897,L,2,2,R,gid_2018_08_21_nyamlb_miamlb_1/,Ball,242.885,-1.85841,1,nya,0.079350396,-125.0395401,0.31863579,-5.879562447,3.155530341,-6.29314,3.22055,-1.709308167,55,5.475507244,6.492119074,-127.9795223,-4.995539643,-9.651718498,24.79571744,-26.99897328,87.44,0.206615491,0.711095357,0.238257,0.741505,1317,22
8/21/18,180821_231806mia,95b65f04-5f0a-4928-b1dd-f97c7797740d,7,7,547888,542364,4,Walk,B,30,3.0743,1.39789,-4.97387,0.968825,FS,22,0.908,L,2,3,R,gid_2018_08_21_nyamlb_miamlb_1/,Ball,258.973,-1.32443,1,nya,0.07932904,-125.0976656,0.31821709,-4.57474725,0.926783205,-4.97387,0.968825,-1.702075368,55,5.434975191,5.927174799,-127.9656007,-3.24214578,-7.529547096,24.19230099,-30.65361348,87.37,0.168516376,1.095176749,0.200859,1.12595,946,32
8/21/18,180821_231850mia,e9a82185-05e2-4b3e-b2a8-ce4fc76686f3,6,1,547888,592663,5,Pop Out,S,34,3.58526,1.67685,-5.92478,9.01553,FF,13,0.911,R,0,0,R,gid_2018_08_21_nyamlb_miamlb_1/,Swinging Strike,213.283,-0.113192,1,nya,0.075838486,-130.8055014,0.304837409,-5.54776243,8.899245126,-5.92478,9.01553,-1.660339991,55,5.419862987,7.897529901,-133.9540841,-3.637025818,-9.950160385,27.78724881,-16.2178053,91.52,0.772103664,2.481255481,0.806186,2.52305,2099,0
8/21/18,180821_231914mia,46ee9235-d30b-4249-bcc0-31115d430017,6,2,547888,592663,5,Pop Out,B,35,3.60848,1.65361,-7.98914,4.64481,FS,23,0.893,R,1,0,R,gid_2018_08_21_nyamlb_miamlb_1/,Ball,239.812,-1.55359,1,nya,0.079789912,-124.403901,0.319670828,-7.555931985,4.565035742,-7.98914,4.64481,-1.723948306,55,5.546244092,7.417248831,-127.1694794,-4.748203215,-12.32340658,23.19153043,-24.73361913,86.91,0.344568628,1.079726725,0.375686,1.11251,1720,1
8/21/18,180821_232000mia,30a0cfdd-6b2b-4a39-bb14-6885a82d5555,6,3,547888,592663,5,Pop Out,S,37,3.65492,1.65361,1.88555,1.15241,SL,23,0.913,R,1,1,R,gid_2018_08_21_nyamlb_miamlb_1/,Swinging Strike,121.448,-1.48559,1,nya,0.083229931,-119.1602281,0.334982059,2.251565144,1.104200802,1.88555,1.15241,-1.857013094,55,5.348063091,4.304682076,-122.1147881,-2.155478643,3.34418404,23.76205083,-30.53896275,83.32,0.472974101,1.136556178,0.512307,1.1677,390,11
8/21/18,180821_232026mia,0790b0cb-58dc-41fe-807f-f9ae6843598e,6,4,547888,592663,5,Pop Out,S,38,3.58526,1.67685,-3.73122,0.973657,FS,16,0.923,R,2,1,R,gid_2018_08_21_nyamlb_miamlb_1/,Foul,255.368,-0.84967,1,nya,0.079664738,-124.5696178,0.319576041,-3.341495082,0.931236354,-3.73122,0.973657,-1.668226421,55,5.5276772,3.757710869,-127.4281516,-1.804587097,-5.453070999,24.01147099,-30.65929166,86.93,-0.544568097,1.786888504,-0.514677,1.8203,717,12
8/21/18,180821_232100mia,78a4bb8a-aaa5-483b-b1d8-dfb8da9a42b2,6,5,547888,592663,5,Pop Out,S,39,3.6317,1.65361,-5.87345,9.00752,FF,11,0.912,R,2,1,R,gid_2018_08_21_nyamlb_miamlb_1/,Foul,213.078,-0.257495,1,nya,0.075663263,-131.0546533,0.304805255,-5.496860726,8.891118183,-5.87345,9.00752,-1.823223764,55,5.292662704,4.78095252,-134.3705476,-3.661168726,-9.86094606,29.33739682,-16.22901669,91.71,-0.686370613,2.346283604,-0.657657,2.38798,2086,12
8/21/18,180821_232157mia,e16a96c2-1e0b-42fa-9b63-a6026629bc76,6,6,547888,592663,5,Pop Out,X,41,3.56204,1.65361,2.2328,1.55731,SL,23,0.916,R,2,1,R,gid_2018_08_21_nyamlb_miamlb_1/,"In play, out(s)",124.912,-1.04959,1,nya,0.08273444,-119.8313882,0.333625453,2.59200229,1.505045151,2.2328,1.55731,-1.847753274,55,5.342372232,4.333645274,-122.9300419,-1.403885558,3.881197809,25.07445355,-29.92538396,83.87,0.539239834,1.572828003,0.579109,1.60629,482,12
8/21/18,180821_232508mia,c3eb4149-3834-48fe-9e7e-6ddb0dace10c,7,1,547888,605119,6,Groundout,S,50,3.6317,1.74659,-2.60658,8.35983,FC,18,0.704,R,0,0,R,gid_2018_08_21_nyamlb_miamlb_1/,Foul,197.281,-0.329225,1,nya,0.078096743,-127.084566,0.31310332,-2.243102,8.245713341,-2.60658,8.35983,-1.845203793,55,5.318617491,6.131164517,-129.9591301,-3.033746903,-3.813488365,24.6296198,-18.1604971,88.73,0.437796413,2.337204297,0.47352,2.37883,1663,0
8/21/18,180821_232527mia,f209ca19-8147-4b4c-aa88-7c6646162957,7,2,547888,605119,6,Groundout,B,51,3.53882,1.63036,2.67206,2.15657,SL,24,0.919,R,1,0,R,gid_2018_08_21_nyamlb_miamlb_1/,Ball,128.926,-1.43555,1,nya,0.083180851,-119.1909523,0.335384977,3.030379785,2.097298429,2.67206,2.15657,-1.844603184,55,5.367918146,4.687894343,-122.2650381,-2.42437654,4.490126728,24.74188062,-29.07142392,83.44,0.784373143,1.182819438,0.825719,1.21475,604,1
8/21/18,180821_232541mia,fbe4de6a-7bb1-4b12-b4ef-0a04c999aec5,7,3,547888,605119,6,Groundout,B,52,3.56204,1.63036,4.89335,0.506822,SL,24,0.919,R,1,1,R,gid_2018_08_21_nyamlb_miamlb_1/,Ball,95.9159,-1.2136,1,nya,0.083653742,-118.5417838,0.336913596,5.230793549,0.465153037,4.89335,0.506822,-1.683443605,55,5.380204115,4.646127656,-121.5252603,-1.360300601,7.680318951,23.87447949,-31.49602071,82.92,1.281707615,1.392404947,1.32629,1.42406,863,11
8/21/18,180821_232557mia,83680bde-ec2b-4cff-aa2c-c5d6d08d3232,7,4,547888,605119,6,Groundout,B,53,3.48902,1.60712,-7.53359,4.19978,FS,23,0.894,R,1,2,R,gid_2018_08_21_nyamlb_miamlb_1/,Ball,240.847,-2.52522,1,nya,0.08008658,-123.9243159,0.321118211,-7.101316392,4.123958144,-7.53359,4.19978,-1.717563313,55,5.501203411,7.680354911,-126.7354944,-6.531396204,-11.47777593,23.48831578,-25.51349393,86.68,0.552843186,0.14347824,0.585163,0.171962,1597,21
8/21/18,180821_232618mia,16637f43-f950-4489-afff-9ad972499e1b,7,5,547888,605119,6,Groundout,S,54,3.51559,1.65361,-2.01425,8.39836,FC,13,0.916,R,1,3,R,gid_2018_08_21_nyamlb_miamlb_1/,Swinging Strike,193.448,0.321071,1,nya,0.077684101,-127.7132354,0.312054039,-1.658944073,8.28425257,-2.01425,8.39836,-1.711633561,55,5.331978969,5.511535035,-130.7411582,-1.967847825,-2.839362741,26.08599873,-18.00010243,89.23,0.387781352,2.839856996,0.42312,2.88352,1642,31
8/21/18,180821_232646mia,f377ad15-53a7-4c48-aac5-7af9b0bbc0bd,7,6,547888,605119,6,Groundout,S,55,3.46915,1.65361,-6.46157,8.44223,FF,7,0.9,R,2,3,R,gid_2018_08_21_nyamlb_miamlb_1/,Foul,217.403,1.02902,1,nya,0.075545645,-131.2756093,0.304120059,-6.080969319,8.33170675,-6.46157,8.44223,-1.542034813,55,5.362164047,6.416069581,-134.5463342,-1.00740213,-10.9580034,28.98101445,-17.16513196,91.84,0.180681606,3.449869003,0.21146,3.49549,2069,32
8/21/18,180821_232711mia,6a443396-a791-4db9-b1c8-e21daae0448b,7,7,547888,605119,6,Groundout,X,56,3.56204,1.67685,1.75579,1.06295,SL,24,0.908,R,2,3,R,gid_2018_08_21_nyamlb_miamlb_1/,"In play, out(s)",121.206,-1.17462,1,nya,0.081275312,-121.871165,0.329377873,2.110651626,1.017054282,1.75579,1.06295,-1.792773594,55,5.260091231,5.477894717,-125.357139,-1.488491229,3.242473721,28.72771474,-30.61655751,85.56,1.005576624,1.479340691,1.04703,1.51226,366,32
8/21/18,180821_234014mia,bdc2b04b-06d7-4e23-8971-cfbdee436b6d,3,1,547888,518618,12,Single,S,98,3.33004,1.56086,-4.25996,10.524,FF,15,0.906,L,0,0,R,gid_2018_08_21_nyamlb_miamlb_1/,Called Strike,202.003,-0.261598,2,nya,0.075712614,-131.044284,0.304066103,-3.900735312,10.39376657,-4.25996,10.524,-1.720556568,55,5.449379336,3.553664804,-134.1346353,-5.049996621,-7.031681896,27.31653424,-13.44261971,91.55,-0.849923639,2.172695581,-0.821277,2.21404,2216,0
8/21/18,180821_234028mia,59a1cd8d-491f-4697-8349-ddf2f01521cd,3,2,547888,518618,12,Single,S,99,3.30681,1.6306,3.84097,0.584386,SL,20,0.915,L,1,0,R,gid_2018_08_21_nyamlb_miamlb_1/,Called Strike,98.6549,-1.09076,2,nya,0.083249038,-119.1666654,0.334548723,4.184921156,0.542445889,3.84097,0.584386,-1.932434376,55,5.404965729,1.07606726,-122.0199846,-1.261842954,6.23185408,22.93941708,-31.37123242,83.2,-0.782325553,1.52220332,-0.747115,1.55454,688,1
8/21/18,180821_234055mia,478efbdf-05fe-4ea8-8939-0f441f59d841,3,3,547888,518618,12,Single,X,100,3.35326,1.67709,-5.57883,3.53471,FS,22,0.901,L,2,0,R,gid_2018_08_21_nyamlb_miamlb_1/,"In play, no out",237.626,-1.68275,2,nya,0.078841111,-125.9371405,0.315388459,-5.18055055,3.467756303,-5.57883,3.53471,-1.523711976,55,5.578590228,5.328667437,-128.6284091,-4.688062217,-8.680266739,22.83680936,-26.3686041,87.83,-0.029759871,1.072986434,0.000530161,1.10489,1249,2
8/21/18,180821_234141mia,bae75e5d-f893-4451-93c2-bb5c1eb3d420,1,1,547888,516770,13,Double Play,X,104,3.74803,1.81656,-3.07995,8.12103,FC,8,0.727,R,0,0,R,gid_2018_08_21_nyamlb_miamlb_1/,"In play, out(s)",200.734,0.242225,2,nya,0.077152463,-128.6395437,0.309323032,-2.720338478,8.011253806,-3.07995,8.12103,-1.809970433,55,5.356823786,6.587570454,-131.5505655,-1.746285419,-4.738568665,25.24730321,-18.2241644,89.81,0.56005935,2.972382591,0.595788,3.01622,1670,0
8/21/18,180821_234224mia,4a8dc1fe-bc7b-4e6e-8a76-74bb6228b136,3,1,547888,621573,14,Groundout,S,109,3.51583,1.6306,-4.00568,9.16124,FS,6,0.864,R,0,0,R,gid_2018_08_21_nyamlb_miamlb_1/,Called Strike,203.583,0.693543,2,nya,0.077742705,-127.6539426,0.311805914,-3.631303507,9.039874075,-4.00568,9.16124,-1.83443936,55,5.335281767,5.011774608,-130.5694801,-1.463017345,-6.225046516,25.09533521,-16.68218556,89.1,-0.259607496,3.181313944,-0.227867,3.22696,1906,0
8/21/18,180821_234238mia,4607438f-2a6d-4916-84f3-d864f4e2bd87,3,2,547888,621573,14,Groundout,B,110,3.41025,1.58411,3.46247,-1.49242,SL,24,0.904,R,1,0,R,gid_2018_08_21_nyamlb_miamlb_1/,Ball,66.6704,-1.35163,2,nya,0.083883089,-118.1896653,0.338270023,3.818460416,-1.512418483,3.46247,-1.49242,-1.779551881,55,5.426920012,5.672121964,-121.2483199,-1.076152458,5.561731457,24.411936,-34.3818945,82.76,1.447394554,1.23392597,1.49221,1.26305,658,1
8/21/18,180821_234254mia,5e847b2c-e545-47d2-bb47-387c582350bf,3,3,547888,621573,14,Groundout,X,111,3.35326,1.6306,1.26396,2.43783,SL,18,0.905,R,1,1,R,gid_2018_08_21_nyamlb_miamlb_1/,"In play, out(s)",152.626,-0.246247,2,nya,0.082234039,-120.5379308,0.331945156,1.62985885,2.376543841,1.26396,2.43783,-1.700810343,55,5.390914038,4.069199321,-123.7227916,-0.422912498,2.465278982,25.93121358,-28.58430615,84.4,0.404625933,2.242854308,0.442478,2.27983,488,11
