Pitching Data for 547888 for game: gid_2018_08_27_chamlb_nyamlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
8/27/18,180827_231101nya,2332d50a-06ba-40b2-a7fd-bbc5eaf6a862,3,1,547888,570560,1,Groundout,B,3,3.1181,1.43123,-4.96933,8.7307,FF,1,0.913,L,0,0,R,gid_2018_08_27_chamlb_nyamlb_1/,Ball,209.617,1.7174,1,nya,0.075556743,-131.3161594,0.30342113,-4.792280853,8.837930175,-4.96933,8.7307,-1.560813528,55,5.556096367,4.561166579,-134.4083189,-1.164385987,-8.67559697,27.38874957,-16.17945352,91.7,-0.413748601,3.669230011,-0.407593,3.72318,1981,0
8/27/18,180827_231116nya,5c034d80-e89a-4823-878d-dfcab7244388,3,2,547888,570560,1,Groundout,S,4,3.21006,1.3621,-5.43269,9.19808,FF,6,0.913,L,0,1,R,gid_2018_08_27_chamlb_nyamlb_1/,Called Strike,210.537,0.735861,1,nya,0.075621069,-131.2120735,0.303585112,-5.256042924,9.306026767,-5.43269,9.19808,-1.550088791,55,5.510978801,4.478549738,-134.2789282,-3.042190903,-9.504881638,27.14074466,-15.35024038,91.63,-0.509147575,2.911725539,-0.502871,2.966,2106,10
8/27/18,180827_231134nya,ae84d9d9-2b7f-404c-9f53-4d7a9ead94c8,3,3,547888,570560,1,Groundout,X,5,3.21006,1.47732,-8.4404,4.43762,FS,21,0.891,L,1,1,R,gid_2018_08_27_chamlb_nyamlb_1/,"In play, out(s)",242.253,-1.56703,1,nya,0.079770111,-124.4052521,0.319996193,-8.248577231,4.550887292,-8.4404,4.43762,-1.500411469,55,5.593889682,5.556131209,-127.2594564,-5.188151431,-13.42573811,23.94341609,-24.77178064,86.92,-0.355048379,0.926063964,-0.345011,0.986057,1786,11
8/27/18,180827_231211nya,f6d06a6e-a93f-4da2-81fe-1f71f1126cee,4,1,547888,641313,2,Strikeout,S,9,3.27903,1.54643,6.19703,-1.9015,SL,18,0.909,R,0,0,R,gid_2018_08_27_chamlb_nyamlb_1/,Swinging Strike,72.933,-0.682382,1,nya,0.083693048,-118.4657463,0.337384907,6.433862241,-1.785786225,6.19703,-1.9015,-1.686467373,55,5.424022062,2.974278241,-121.508415,0.113655602,9.420397026,24.33872935,-34.79373041,82.87,0.695910002,1.75696165,0.707475,1.82159,1145,0
8/27/18,180827_231230nya,63cb88b6-7135-4d7d-99bc-8ce077cb3ccc,4,2,547888,641313,2,Strikeout,B,10,3.27903,1.56947,-8.00711,2.04926,FS,24,0.893,R,1,0,R,gid_2018_08_27_chamlb_nyamlb_1/,Ball,255.637,-2.02223,1,nya,0.079809121,-124.3657117,0.319860747,-7.814823239,2.158994215,-8.00711,2.04926,-1.514637905,55,5.648683541,8.564771902,-127.1551901,-5.123255411,-12.73051621,23.38707111,-28.66195169,86.96,1.018971606,0.635352095,1.02825,0.695687,1550,1
8/27/18,180827_231252nya,8c18f43b-3063-4df3-87ec-ca39c728a6d8,4,3,547888,641313,2,Strikeout,S,11,3.23226,1.47653,3.28898,1.66869,SL,18,0.918,R,1,1,R,gid_2018_08_27_chamlb_nyamlb_1/,Foul Tip,116.915,-0.222605,1,nya,0.083567499,-118.6794078,0.336332697,3.519626294,1.789453102,3.28898,1.66869,-1.764828401,55,5.430997692,4.143341418,-121.6204724,-0.421332208,5.185696823,23.55791614,-29.54248109,82.97,0.697421722,2.095125536,0.709026,2.15898,655,11
8/27/18,180827_231316nya,5583f055-0eb2-437d-ab62-40ecfc64c6e9,4,4,547888,641313,2,Strikeout,S,12,3.27824,1.52261,-9.34433,3.49226,FS,23,0.898,R,2,1,R,gid_2018_08_27_chamlb_nyamlb_1/,Swinging Strike (Blocked),249.498,-1.83648,1,nya,0.079027743,-125.5620215,0.317178306,-9.157122829,3.60219047,-9.34433,3.49226,-1.539173345,55,5.611992133,7.417090684,-128.4783648,-5.514110498,-15.17053296,24.69563243,-26.21127954,87.83,0.25215684,0.728922982,0.26133,0.788329,1883,12
8/27/18,180827_231357nya,8a17d9fd-77ca-46ee-acca-a22a6ee2e0d5,7,1,547888,541645,3,Strikeout,S,16,3.60004,1.77596,1.13106,3.05665,SL,24,0.911,R,0,0,R,gid_2018_08_27_chamlb_nyamlb_1/,Swinging Strike,159.729,-1.72194,1,nya,0.082709237,-119.951824,0.332269252,1.352761945,3.176678377,1.13106,3.05665,-1.742616268,55,5.370444073,6.216442841,-122.8016834,-3.227012474,2.042160255,23.06044528,-27.38341394,83.86,1.303317651,1.054309007,1.31402,1.11753,587,0
8/27/18,180827_231415nya,423a8ba1-ceb5-4a64-ab80-097f37bb19cc,7,2,547888,541645,3,Strikeout,S,17,3.55213,1.72991,-8.87269,6.69453,SI,21,0.864,R,1,0,R,gid_2018_08_27_chamlb_nyamlb_1/,Foul,232.946,-1.17918,1,nya,0.076940664,-128.9514279,0.309014173,-8.694278088,6.803095917,-8.87269,6.69453,-1.770188636,55,5.427900485,6.608086582,-131.9962011,-4.936022667,-15.17488744,26.48421237,-20.30495897,90.17,-0.33240421,1.51016612,-0.324872,1.56666,2152,1
8/27/18,180827_231440nya,592eb6fc-12ec-460f-b21a-e7da4d94c921,7,3,547888,541645,3,Strikeout,B,18,3.46213,1.68385,-6.47822,9.82161,FF,4,0.912,R,2,0,R,gid_2018_08_27_chamlb_nyamlb_1/,Ball,213.38,1.61812,1,nya,0.075833012,-130.7787116,0.305269758,-6.300979755,9.931589534,-6.47822,9.82161,-1.462724232,55,5.474673791,7.595874478,-134.0353527,-0.607498862,-11.26910092,28.74681232,-14.41666952,91.54,0.729457056,3.957592519,0.735617,4.01173,2299,2
