Pitching Data for 547888 for game: gid_2018_09_01_detmlb_nyamlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
9/1/18,180901_200901nya,15099d93-a8d4-4e87-a3fb-7db36b80e963,4,1,547888,543484,1,Single,S,3,3.41,1.56,-5.99537,8.34995,FF,6,0.911,R,0,0,R,gid_2018_09_01_detmlb_nyamlb_1/,Foul,215.651,0.668471,1,nya,0.07567024,-131.1105165,0.303984735,-5.775378519,8.479140302,-5.99537,8.34995,-1.628971439,55,5.502845897,5.322595059,-134.2238869,-2.465714847,-10.41659193,27.53614284,-16.8858475,91.6,-0.315068788,3.006065428,-0.279194,3.10334,2021,0
9/1/18,180901_200937nya,0c5d04ff-897c-4710-a414-b5a4b8244af8,4,2,547888,543484,1,Single,S,4,3.41,1.56,-5.86431,9.90121,FF,19,0.91,R,1,0,R,gid_2018_09_01_detmlb_nyamlb_1/,Called Strike,210.607,-0.25133,1,nya,0.075771215,-130.9202209,0.30458463,-5.643373862,10.03195722,-5.86431,9.90121,-1.667593075,55,5.534781717,7.851724735,-134.075799,-5.132791493,-10.1384509,27.87385417,-14.15635818,91.64,0.727957561,2.154854566,0.76357,2.25252,2257,1
9/1/18,180901_200956nya,2fc4264d-f9a8-4ae2-84de-8574f28c1ccb,4,3,547888,543484,1,Single,B,5,3.41,1.56,-8.70944,2.26268,FS,23,0.896,R,2,0,R,gid_2018_09_01_detmlb_nyamlb_1/,Ball,255.43,-2.04837,1,nya,0.079209003,-125.2556511,0.318164488,-8.470723738,2.399820535,-8.70944,2.26268,-1.58301282,55,5.692504527,8.240407265,-128.2219951,-5.76775154,-13.94652013,25.06339694,-28.22784465,87.69,0.68532691,0.485447232,0.719968,0.590255,1691,2
9/1/18,180901_201016nya,4db45c0d-7c7b-4ce9-8ede-4d3ee92943e6,4,4,547888,543484,1,Single,X,6,3.41,1.56,-5.38319,8.54299,FF,18,0.909,R,2,1,R,gid_2018_09_01_detmlb_nyamlb_1/,"In play, no out",212.187,-0.184062,1,nya,0.074860422,-132.5778557,0.300137461,-5.168287981,8.668979404,-5.38319,8.54299,-1.671256826,55,5.407738207,6.577052293,-135.5789387,-4.414280085,-9.56213884,26.82535983,-16.14003604,92.6,0.22695627,2.219111124,0.262973,2.31474,2016,12
9/1/18,180901_201102nya,22288c78-b410-40e4-a415-115563221025,1,1,547888,451192,2,Single,X,10,3.47,1.59,1.0552,1.81689,SL,23,0.906,L,0,0,R,gid_2018_09_01_detmlb_nyamlb_1/,"In play, no out",149.883,-1.55771,1,nya,0.083599599,-118.6658885,0.335973787,1.329757274,1.969516069,1.0552,1.81689,-1.926667914,55,5.473411932,4.428697425,-121.5104345,-3.063857293,1.963406996,22.77308704,-29.27097934,82.93,0.322948921,0.95262781,0.35557,1.06575,374,0
9/1/18,180901_201202nya,1034cd80-99f5-49f9-a340-58f39cc2f8c2,2,1,547888,592206,3,Single,S,15,3.55,1.63,6.00022,-1.16495,SL,24,0.917,R,0,0,R,gid_2018_09_01_detmlb_nyamlb_1/,Swinging Strike,79.0068,-1.34157,1,nya,0.083902551,-118.0817823,0.339603728,6.285313093,-1.011744984,6.00022,-1.16495,-1.955128071,55,5.408432265,5.97942622,-121.3790342,-1.260204152,9.083030418,26.31875468,-33.64109271,82.86,1.806091686,1.187406847,1.83773,1.30209,1067,0
9/1/18,180901_201245nya,400fa4db-c4d5-458c-87a8-574c830bebc1,2,2,547888,592206,3,Single,X,16,3.55,1.63,5.29198,-2.59146,SL,19,0.911,R,1,0,R,gid_2018_09_01_detmlb_nyamlb_1/,"In play, no out",63.8957,-0.667205,1,nya,0.083216994,-119.0937574,0.336225285,5.570752515,-2.442563293,5.29198,-2.59146,-2.006321486,55,5.42839974,5.06745534,-122.3016262,0.438273029,8.213000969,25.81215717,-35.78008884,83.46,1.198064605,1.836461913,1.23024,1.94948,1041,1
9/1/18,180901_201344nya,96bcf21d-36f2-4a09-afc2-f5fb8ced35b7,5,1,547888,400121,4,Sac Fly,S,22,3.47,1.59,3.18451,2.83299,SL,20,0.914,L,0,0,R,gid_2018_09_01_detmlb_nyamlb_1/,Called Strike,131.678,-0.800733,1,nya,0.08214732,-120.6241204,0.332209143,3.454789432,2.983076614,3.18451,2.83299,-1.931072416,55,5.383873023,1.237382352,-123.9344387,-1.87832715,5.217316345,26.98555614,-27.67404979,84.51,-0.828453152,1.666415788,-0.795206,1.77731,761,0
9/1/18,180901_201416nya,0bb39f7f-a673-4536-b07b-afccd58d3371,5,2,547888,400121,4,Sac Fly,S,23,3.47,1.59,-5.1773,3.47126,FS,22,0.907,L,1,0,R,gid_2018_09_01_detmlb_nyamlb_1/,Swinging Strike (Blocked),236.142,-1.98189,1,nya,0.078562545,-126.291539,0.315498071,-4.939880793,3.607000447,-5.1773,3.47126,-1.67352132,55,5.642469686,5.184495397,-129.2667783,-6.074990355,-8.271262451,25.34490443,-26.13949245,88.3,-0.204204116,0.563560251,-0.169287,0.667024,1182,1
9/1/18,180901_201525nya,76042467-b57d-4586-97e9-5b90078e9437,5,3,547888,400121,4,Sac Fly,B,24,3.47,1.59,-5.60091,9.3751,FF,0,0.908,L,2,0,R,gid_2018_09_01_detmlb_nyamlb_1/,Ball,210.825,1.99251,1,nya,0.074463384,-133.1168101,0.300577002,-5.385520053,9.502007614,-5.60091,9.3751,-1.850741489,55,5.522545844,1.862802771,-136.6337362,0.066231581,-9.934932037,31.62309123,-14.65018218,93.17,-1.925992053,4.307707231,-1.8896,4.40296,2160,2
