Pitching Data for 547888 for game: gid_2018_09_14_tormlb_nyamlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
9/14/18,180914_230938nya,41b0d4f1-c5b1-4431-a9da-87a3a1338ddf,4,1,547888,641856,1,Strikeout,S,3,3.411,1.565,-5.93317,8.80392,FF,10,0.897,L,0,0,R,gid_2018_09_14_tormlb_nyamlb_1/,Called Strike,213.949,0.268269,1,nya,0.074746601,-132.6139551,0.301701382,-5.716403335,8.931422727,-5.93317,8.80392,-1.725142248,55,5.455606268,3.475452589,-136.1130132,-3.542511681,-10.4668744,31.34304286,-15.82534641,92.87,-1.182727913,2.639503445,-1.14652,2.73561,2092,0
9/14/18,180914_230956nya,ade7d628-eadf-4cb1-b406-68015a6f8068,4,2,547888,641856,1,Strikeout,S,4,3.411,1.565,-3.81972,9.52042,FF,17,0.903,L,1,0,R,gid_2018_09_14_tormlb_nyamlb_1/,Foul,201.827,-0.320713,1,nya,0.074969819,-132.1772333,0.303123691,-3.59951666,9.649634985,-3.81972,9.52042,-1.706076775,55,5.441462754,5.176985929,-135.7903964,-5.016160163,-6.529097839,32.27369167,-14.67570251,92.71,-0.119680037,2.09516417,-0.0838354,2.19198,2008,1
9/14/18,180914_231042nya,0bb1dec3-7fc5-4f67-a118-a7cb1cd6682f,4,3,547888,641856,1,Strikeout,B,5,3.411,1.565,-6.63388,10.2676,FF,0,0.911,L,2,0,R,gid_2018_09_14_tormlb_nyamlb_1/,Ball,212.837,1.49107,1,nya,0.075359686,-131.5367724,0.304154784,-6.414071907,10.39825535,-6.63388,10.2676,-1.851716825,55,5.441614098,3.820051533,-135.0023338,-1.216675407,-11.55562048,30.79025508,-13.44545692,92.09,-1.263159775,3.76725814,-1.22711,3.86426,2389,2
9/14/18,180914_231104nya,d237190b-bb3f-449e-a95f-9f98a8daadc9,4,4,547888,641856,1,Strikeout,S,6,3.467,1.589,-9.07428,3.94954,FS,22,0.905,L,2,1,R,gid_2018_09_14_tormlb_nyamlb_1/,Swinging Strike (Blocked),246.467,-1.97973,1,nya,0.078525689,-126.3579535,0.315254695,-8.840119394,4.085424616,-9.07428,3.94954,-1.63383955,55,5.609967975,6.448589262,-129.3133339,-6.182320847,-14.82462625,25.18686343,-25.32786029,88.38,-0.231340925,0.565703728,-0.196252,0.669035,1878,12
9/14/18,180914_231141nya,38454a04-0cbf-4ed9-9201-1396e5934f36,1,1,547888,666971,2,Lineout,X,10,3.467,1.589,-6.41074,9.80136,FF,13,0.91,R,0,0,R,gid_2018_09_14_tormlb_nyamlb_1/,"In play, out(s)",213.159,0.0748355,1,nya,0.075812914,-130.7379921,0.306141782,-6.187928876,9.93341349,-6.41074,9.80136,-1.537649632,55,5.518049314,7.019498693,-134.2197773,-4.153135353,-11.00395612,30.75086833,-14.51447147,91.68,0.438465144,2.500065238,0.47408,2.59827,2273,0
9/14/18,180914_231217nya,dcd7906e-e607-4b10-9d61-a6f6e7119716,8,1,547888,545341,3,Walk,B,14,3.411,1.565,1.4302,-0.285015,SL,24,0.909,R,0,0,R,gid_2018_09_14_tormlb_nyamlb_1/,Ball,78.7225,-1.75291,1,nya,0.083912968,-117.9452503,0.341580632,1.714366753,-0.129202565,1.4302,-0.285015,-1.7955535,55,5.360281095,6.218917086,-121.6042417,-2.312502131,2.448871569,29.21698428,-32.36355823,83.04,1.374337247,0.754539244,1.40618,0.870068,251,0
9/14/18,180914_231234nya,f3cc4fcc-d5a1-41b0-8276-2e386a6662eb,8,2,547888,545341,3,Walk,B,15,3.411,1.565,2.17556,-0.855582,SL,24,0.913,R,0,1,R,gid_2018_09_14_tormlb_nyamlb_1/,Ball,68.5202,-1.47339,1,nya,0.084019873,-117.7465867,0.342800654,2.462475737,-0.69919641,2.17556,-0.855582,-1.843780755,55,5.349122882,5.850305266,-121.5452159,-1.499175688,3.492508129,30.29936076,-33.17066425,82.97,1.277887366,1.012071157,1.30959,1.12806,400,10
9/14/18,180914_231250nya,ed1419a1-01fa-406a-9e4a-a28bca10a7f5,8,3,547888,545341,3,Walk,S,16,3.411,1.565,-5.8561,10.9043,FF,24,0.907,R,0,2,R,gid_2018_09_14_tormlb_nyamlb_1/,Called Strike,208.207,-1.12798,1,nya,0.075012933,-132.0459215,0.303992968,-5.636003515,11.03519797,-5.8561,10.9043,-1.587727743,55,5.457769732,7.716499345,-135.8215353,-7.322268693,-10.16466169,33.7121358,-12.27676719,92.89,0.742759023,1.34959686,0.778463,1.44687,2409,20
9/14/18,180914_231311nya,c6d85a88-1381-4a3a-b0bb-00e8421d2258,8,4,547888,545341,3,Walk,S,17,3.411,1.565,-8.4714,3.41138,FS,22,0.892,R,1,2,R,gid_2018_09_14_tormlb_nyamlb_1/,Foul,248.055,-0.816896,1,nya,0.080015321,-123.8467246,0.323465014,-8.224570081,3.554082961,-8.4714,3.41138,-1.596855918,55,5.609865806,6.240716,-127.2197117,-3.118178227,-13.1010869,28.22812892,-26.51762813,86.87,-0.117777148,1.627191522,-0.0833717,1.73401,1675,21
9/14/18,180914_231337nya,fc35dcd1-6df4-4f03-9867-18424b1a67a3,8,5,547888,545341,3,Walk,S,18,3.411,1.565,-0.0621166,3.24787,SL,18,0.834,R,2,2,R,gid_2018_09_14_tormlb_nyamlb_1/,Foul,181.051,-0.7465,1,nya,0.082318165,-120.2887507,0.334190498,0.208548937,3.400130807,-0.0621166,3.24787,-1.866454162,55,5.292801428,4.884698149,-123.8449263,-1.693808408,0.311220744,28.93940784,-27.1049332,84.51,0.398708782,1.687312347,0.431609,1.79898,574,22
