Pitching Data for 547888 for game: gid_2018_09_20_bosmlb_nyamlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
9/20/18,180920_231040nya,66c2c9a1-1342-42bb-8341-925925f3eb3c,5,1,547888,605141,1,Double,S,3,3.24495,1.50461,-3.74069,10.0585,FF,13,0.902,R,0,0,R,gid_2018_09_20_bosmlb_nyamlb_1/,Called Strike,200.365,0.468962,1,nya,0.07603833,-130.4127222,0.306259051,-3.51588585,10.19085963,-3.74069,10.0585,-1.690197683,55,5.58025705,5.950182326,-133.6988437,-3.943357725,-6.247491165,28.93009044,-14.07053226,91.29,0.257333434,2.684556151,0.292849,2.78285,2088,0
9/20/18,180920_231057nya,6a514bb0-a656-419d-8e0b-179294d1cd30,5,2,547888,605141,1,Double,B,4,3.24495,1.50461,-4.39273,9.60467,FF,21,0.903,R,1,0,R,gid_2018_09_20_bosmlb_nyamlb_1/,Ball,204.544,-1.37891,1,nya,0.076021342,-130.4288057,0.30635615,-4.168225458,9.73678139,-4.39273,9.60467,-1.814423316,55,5.51776858,4.332858948,-133.7545186,-7.4514278,-7.401960178,29.28659679,-14.88836425,91.39,-0.647584519,1.076236001,-0.611894,1.1749,2053,1
9/20/18,180920_231115nya,0180f054-d8a5-4f55-a54e-289f8f105379,5,3,547888,605141,1,Double,B,5,3.30111,1.55826,-8.40354,4.67196,FS,22,0.876,R,1,1,R,gid_2018_09_20_bosmlb_nyamlb_1/,Ball,240.913,-2.6876,1,nya,0.079321271,-125.0520492,0.318975418,-8.16338226,4.811664231,-8.40354,4.67196,-1.621907451,55,5.642697252,7.116425404,-128.0925423,-7.623467716,-13.37224893,25.65614558,-24.29712337,87.62,0.21173975,-0.017550341,0.246409,0.0876312,1800,11
9/20/18,180920_231137nya,c06492d6-00b7-4f94-80f0-f8221f483555,5,4,547888,605141,1,Double,S,6,3.285,1.487,5.28797,-1.17016,SL,18,0.904,R,1,2,R,gid_2018_09_20_bosmlb_nyamlb_1/,Swinging Strike,77.5156,-0.369192,1,nya,0.083397329,-118.8672094,0.336477653,5.567156117,-1.019760368,5.28797,-1.17016,-1.882479768,55,5.416183566,3.084581827,-121.9760119,0.226171578,8.195391373,24.9578004,-33.68018573,83.19,0.41061273,1.941009223,0.443008,2.0541,958,21
9/20/18,180920_231202nya,5d44334f-66fc-4383-aef8-610b95550b5a,5,5,547888,605141,1,Double,X,7,3.285,1.487,-5.20891,9.68193,FF,7,0.903,R,2,2,R,gid_2018_09_20_bosmlb_nyamlb_1/,"In play, no out",208.249,0.642133,1,nya,0.075408619,-131.5285415,0.303389694,-4.989251025,9.811488442,-5.20891,9.68193,-1.603233693,55,5.561798526,6.007772408,-134.762387,-3.480476902,-9.034049316,28.7047906,-14.41331332,92.01,0.114404248,2.866331701,0.150225,2.96328,2162,22
9/20/18,180920_231308nya,28d3ec7f-44da-4f43-9cea-8bef1d5d3add,4,1,547888,643217,2,Groundout,B,11,3.31631,1.51139,-8.52586,1.39857,FS,21,0.903,L,0,0,R,gid_2018_09_20_bosmlb_nyamlb_1/,Ball,260.68,-1.73272,1,nya,0.078718153,-126.0020951,0.316659103,-8.289229135,1.533761226,-8.52586,1.39857,-1.823546202,55,5.626291705,6.154069636,-129.0899064,-4.804324194,-13.77777032,26.25586559,-29.62969058,88.18,-0.450197771,0.746140586,-0.415225,0.850142,1629,0
9/20/18,180920_231339nya,b10a683d-2479-482c-8000-a89263760a12,4,2,547888,643217,2,Groundout,S,12,3.301,1.504,-5.68355,2.0232,FS,21,0.898,L,0,1,R,gid_2018_09_20_bosmlb_nyamlb_1/,Foul,250.396,-1.166,1,nya,0.079909887,-124.2399595,0.319838736,-5.439992931,2.161613412,-5.68355,2.0232,-1.788857778,55,5.567653066,4.697715123,-126.9333693,-3.536334959,-8.863086029,22.55042316,-28.65720027,86.64,-0.580390442,1.249341488,-0.54577,1.35485,1133,10
9/20/18,180920_231420nya,678f7eb8-5791-4489-b066-db77cb34a23d,4,3,547888,643217,2,Groundout,S,13,3.301,1.504,-8.27215,7.95479,SI,21,0.521,L,1,1,R,gid_2018_09_20_bosmlb_nyamlb_1/,Foul,226.098,-0.993171,1,nya,0.076146198,-130.2883831,0.305929692,-8.05091534,8.08540935,-8.27215,7.95479,-1.897400724,55,5.396381165,5.81757841,-133.3900806,-5.762907623,-14.33675127,27.26169444,-17.78082317,91.12,-0.71845912,1.411634776,-0.682628,1.51014,2242,11
9/20/18,180920_231457nya,2727c57a-4093-4a78-aec9-8f7dcabfc2d6,4,4,547888,643217,2,Groundout,X,14,3.301,1.504,-6.77012,1.53372,FS,22,0.912,L,2,1,R,gid_2018_09_20_bosmlb_nyamlb_1/,"In play, out(s)",257.229,-2.05589,1,nya,0.078700302,-126.0769027,0.315965076,-6.533188537,1.66841605,-6.77012,1.53372,-1.631245693,55,5.569551381,6.47693036,-129.027805,-5.432677565,-10.9067605,25.09296848,-29.39368098,88.16,0.151798836,0.451513143,0.186662,0.555287,1314,12
9/20/18,180920_231544nya,795dd34e-ffbf-415c-ac0e-45dcd3c796f2,6,1,547888,502110,3,Single,S,19,3.49,1.601,-4.46683,10.6074,FF,16,0.903,R,0,0,R,gid_2018_09_20_bosmlb_nyamlb_1/,Foul,202.802,-0.135942,1,nya,0.074541105,-133.0727289,0.299736538,-4.251906518,10.73438771,-4.46683,10.6074,-1.651400495,55,5.492425392,4.033901688,-136.3041818,-5.19129084,-7.887749001,29.01595927,-12.2655434,93.04,-0.659589396,2.321807383,-0.623387,2.4171,2293,0
