Pitching Data for 547888 for game: gid_2018_10_06_nyamlb_bosmlb_1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
10/7/18,181007_002711bos,0b006fe3-bb1d-4010-9f69-76db3f165243,6,1,547888,605141,5,Flyout,S,35,3.285,1.487,6.935,0.100719,SL,13,0.9,R,0,0,R,gid_2018_10_06_nyamlb_bosmlb_1/,Called Strike,90.8322,-0.230015,1,nya,0.084842793,-116.9351455,0.340844008,7.138801738,0.209367807,6.935,0.100719,-1.684219621,55,5.423948896,2.324177478,-119.7140219,0.59286663,10.24148049,21.9206261,-31.87863638,81.64,0.522291927,2.215889214,0.612852,2.17922,1215,0
10/7/18,181007_002728bos,db5d7d64-61ea-48c4-8909-6b34b6dfe22e,6,2,547888,605141,5,Flyout,B,36,3.285,1.487,-4.70512,9.91748,FF,5,0.905,R,1,0,R,gid_2018_10_06_nyamlb_bosmlb_1/,Ball,205.348,0.540023,1,nya,0.076096327,-130.3651108,0.305838253,-4.535170233,9.999305126,-4.70512,9.91748,-1.531338172,55,5.650003792,3.205087337,-133.4946167,-3.496925686,-8.080881454,27.5250191,-14.36198428,91.08,-0.897847777,2.919023172,-0.808066,2.87148,2142,1
10/7/18,181007_002745bos,58c4fd74-fc62-4234-94e7-14f26cd2120e,6,3,547888,605141,5,Flyout,S,37,3.285,1.487,-5.36361,1.20251,FS,23,0.904,R,1,1,R,gid_2018_10_06_nyamlb_bosmlb_1/,Foul,257.357,-0.927656,1,nya,0.079460622,-124.9109176,0.31846725,-5.179208466,1.296725497,-5.36361,1.20251,-1.516161593,55,5.690859206,6.382104865,-127.7133366,-2.796532902,-8.511039116,23.59863322,-30.04807951,87.21,0.460725813,1.596177894,0.550852,1.55204,1034,11
10/7/18,181007_002808bos,21766348-4629-448c-9a9c-ca36c6dbd67a,6,4,547888,605141,5,Flyout,S,38,3.285,1.487,-7.85848,0.350747,FS,15,0.888,R,2,1,R,gid_2018_10_06_nyamlb_bosmlb_1/,Foul,267.443,-0.636219,1,nya,0.078104383,-126.9823915,0.314321487,-7.677303212,0.442991158,-7.85848,0.350747,-1.570271804,55,5.562882284,4.19312883,-130.1238358,-1.818793735,-12.95117889,26.92282909,-31.43169882,88.78,-0.965947975,1.859560123,-0.876342,1.81404,1491,12
10/7/18,181007_002832bos,c3f8d031-8430-4aa1-bcde-0eecdce362f1,6,5,547888,605141,5,Flyout,B,39,3.285,1.487,6.08323,-1.20637,SL,24,0.902,R,2,1,R,gid_2018_10_06_nyamlb_bosmlb_1/,Ball,78.7772,-3.15884,1,nya,0.083121589,-119.1556275,0.336992853,6.282771501,-1.099407412,6.08323,-1.20637,-1.744170996,55,5.40554387,6.080562135,-122.5896283,-4.832375242,9.220588348,27.67178004,-33.79248907,83.75,2.039655393,-0.414771787,2.13074,-0.453796,1087,12
10/7/18,181007_002906bos,7c81134e-a1e4-4afb-bfed-8fd788fdd019,6,6,547888,605141,5,Flyout,X,40,3.285,1.487,-7.49871,0.700613,FS,5,0.904,R,2,2,R,gid_2018_10_06_nyamlb_bosmlb_1/,"In play, out(s)",264.66,0.502381,1,nya,0.079101786,-125.4718863,0.317105524,-7.314632167,0.794304838,-7.49871,0.700613,-1.617610211,55,5.552363179,4.17436472,-128.3039197,0.582783907,-12.12365661,23.95671886,-30.86247733,87.53,-0.949160448,2.881821924,-0.859531,2.83764,1422,22
10/7/18,181007_002935bos,a1eca23a-0fc2-4629-938a-881b370b8d95,4,1,547888,643217,6,Lineout,S,44,3.301,1.504,-8.01382,7.65795,FF,5,0.633,L,0,0,R,gid_2018_10_06_nyamlb_bosmlb_1/,Called Strike,226.279,0.623036,1,nya,0.075801972,-130.8582333,0.304819157,-7.843076862,7.740488227,-8.01382,7.65795,-1.752541065,55,5.392530905,5.0980691,-134.0389212,-1.874290857,-14.06859431,28.08517307,-18.29442503,91.47,-0.850661913,3.010192932,-0.760957,2.9623,2169,0
10/7/18,181007_002951bos,57225905-f5d1-4f5d-a165-f1077ca6ea34,4,2,547888,643217,6,Lineout,B,45,3.301,1.504,-7.97391,0.361218,FS,20,0.904,L,1,0,R,gid_2018_10_06_nyamlb_bosmlb_1/,Ball,267.405,-2.13371,1,nya,0.079283574,-125.1323975,0.318538275,-7.787916306,0.45595427,-7.97391,0.361218,-1.521270667,55,5.557819087,4.513588239,-128.1121556,-4.638224106,-12.79224525,25.15358394,-31.43006041,87.46,-0.770291591,0.529868355,-0.680667,0.485366,1496,1
10/7/18,181007_003009bos,9b74d88b-3e4d-4844-a21f-10ce17a85d92,4,3,547888,643217,6,Lineout,B,46,3.301,1.504,-8.55523,5.73612,SI,10,0.931,L,1,1,R,gid_2018_10_06_nyamlb_bosmlb_1/,Ball,236.142,-0.234035,1,nya,0.077034807,-128.7203343,0.310343383,-8.378087307,5.822926865,-8.55523,5.73612,-1.71623222,55,5.383791408,2.317061871,-131.9801507,-2.691724174,-14.4980186,28.32785648,-22.1026068,90.02,-2.042430708,2.238647371,-1.95313,2.19222,1975,11
10/7/18,181007_003053bos,1388241a-c269-4b3d-a6f1-e739013ae8c3,4,4,547888,643217,6,Lineout,X,47,3.301,1.504,-7.24553,4.97226,FS,22,0.894,L,1,2,R,gid_2018_10_06_nyamlb_bosmlb_1/,"In play, out(s)",235.523,-1.16653,1,nya,0.078595335,-126.2181418,0.315907447,-7.062934765,5.0627896,-7.24553,4.97226,-1.580506028,55,5.605737663,6.783182508,-129.2537821,-4.567003738,-11.79544196,25.85069507,-23.723897,88.3,0.25141383,1.399277185,0.34142,1.35437,1660,21
